English	Translation	Pinyin	Hiragana	Latin Letters	Part of Speech	Stamp	OriginLanguage
Necessary	необходи́мый			neobhodimyi	Noun	[]	Russian
Necessary	ну́жный			nuzhnyi	Noun	[]	Russian
Necessary	нужен			nužen	Noun	[]	Russian
Necessary	нужна			nužna	Noun	[]	Russian
Necessary	нужно			nužno	Noun	[]	Russian
Necessary	нужны			nužny	Noun	[]	Russian
Necessary	inevitable				Noun	[]	Spanish
Necessary	lógico				Noun	[]	Spanish
Necessary	necesaria				Noun	[]	Spanish
Necessary	necesarias				Noun	[]	Spanish
Necessary	necesario				Noun	[]	Spanish
Necessary	necesarios				Noun	[]	Spanish
Necessary Level	Sprachniveau				Noun	[]	German
Necessary To	有必要	yǒu bì yào			Noun	[]	Chinese
Necessary To	nécessaire de				Noun	[]	French
Necessary To	する必要がある		するひつようがある		Noun	[]	Japanese
Necessary To	необходимо			neobhodimo	Noun	[]	Russian
Necessary To	нужно			nuzhno	Noun	[]	Russian
Necessary To	требуется			trebuetsja	Noun	[]	Russian
Necessary To	надо			nado	Noun	[]	Russian
Necessary To	следует			sleduet	Noun	[]	Russian
Necessity	がら		がら		Noun	[]	Japanese
Necessity	必要		ひつよう		Noun	[]	Japanese
Necessity	必要性		ひつようせい		Noun	[]	Japanese
Necessity	необходи́мость			neobhodimost'	Verb	[]	Russian
Neck	脖子	bó zi			Noun	[]	Chinese
Neck	cou				Noun	[]	French
Neck	der Nacken				Noun	[]	German
Neck	Hals				Noun	[]	German
Neck	Nacken				Noun	[]	German
Neck	くび		くび		Noun	[]	Japanese
Neck	クビ		クビ		Noun	[]	Japanese
Neck	首		くび		Noun	[]	Japanese
Neck	首筋		くびすじ		Noun	[]	Japanese
Neck	ше́я			sheja	Noun	[]	Russian
Neck	шея			sheja	Noun	[]	Russian
Neck	шею			sheju	Noun	[]	Russian
Neck	шеи			shei	Noun	[]	Russian
Neck	горлу			gorlu	Noun	[]	Russian
Neck	шеей			sheei	Noun	[]	Russian
Neck	шее			shee	Noun	[]	Russian
Neck	воротником			vorotnikom	Noun	[]	Russian
Neck	cuello				Noun	[]	Spanish
Neck	el cuello				Noun	[]	Spanish
Neck	garganta				Noun	[]	Spanish
Neck	nuca				Noun	[]	Spanish
Neck Of A Bottle	der Flaschenhals				Noun	[]	German
Neckerchief	pañuelo				Noun	[]	Spanish
Necklace	项链	xiàng liàn			Noun	[]	Chinese
Necklace	collier				Noun	[]	French
Necklace	Halskette				Noun	[]	German
Necklace	Kette				Noun	[]	German
Necklace	ネックレス		ネックレス		Noun	[]	Japanese
Necklace	首輪		くびわ		Noun	[]	Japanese
Necklace	ожерелье			ozherel'e	Noun	[]	Russian
Necklace	collar				Noun	[]	Spanish
Necklace	el collar				Noun	[]	Spanish
Necks	首		くび		Noun	[]	Japanese
Necktie	ネクタイ		ネクタイ		Noun, Katakana	[]	Japanese
Need	得	dé			Noun	[]	Chinese
Need	必须	bì xū			Noun	[]	Chinese
Need	有必要	yǒu bì yào			Noun	[]	Chinese
Need	要	yào			Noun	[]	Chinese
Need	需求	xū qiú			Noun	[]	Chinese
Need	需要	xū yào			Noun	[]	Chinese
Need	ai besoin d'				Noun	[]	French
Need	avoir besoin d'				Noun	[]	French
Need	besoin				Noun	[]	French
Need	besoin d'				Noun	[]	French
Need	faut				Noun	[]	French
Need	misère				Noun	[]	French
Need	nécessitent				Noun	[]	French
Need	nécessitera				Noun	[]	French
Need	Armut				Noun	[]	German
Need	Bedürfnis				Noun	[]	German
Need	Brauche				Noun	[]	German
Need	das Bedürfnis				Noun	[]	German
Need	die Armut				Noun	[]	German
Need	あり		あり		Noun	[]	Japanese
Need	いら		いら		Noun	[]	Japanese
Need	いらなかった		いらなかった		Noun	[]	Japanese
Need	いり		いり		Noun	[]	Japanese
Need	いります		いります		Noun	[]	Japanese
Need	いる		いる		Noun	[]	Japanese
Need	いるし		いるし		Noun	[]	Japanese
Need	がいります		がいります		Noun	[]	Japanese
Need	がら		がら		Noun	[]	Japanese
Need	が必要です		がひつようです		Noun	[]	Japanese
Need	ぎがいります		ぎがいります		Noun	[]	Japanese
Need	ご入り用		ごいりよう		Noun	[]	Japanese
Need	ご入用		ごにゅうよう		Noun	[]	Japanese
Need	はいります		はいります		Noun	[]	Japanese
Need	はいりますか		はいりますか		Noun	[]	Japanese
Need	ひつ		ひつ		Noun	[]	Japanese
Need	ひつよう		ひつよう		Noun	[]	Japanese
Need	ひつようです		ひつようです		Noun	[]	Japanese
Need	ひつようとします		ひつようとします		Noun	[]	Japanese
Need	びがひつよう		びがひつよう		Noun	[]	Japanese
Need	む		む		Noun	[]	Japanese
Need	ニーズ		ニーズ		Noun	[]	Japanese
Need	必		ひつ		Noun	[]	Japanese
Need	必要		ひつよう		Noun	[]	Japanese
Need	必要だった		ひつようだった		Noun	[]	Japanese
Need	必要です		ひつようです		Noun	[]	Japanese
Need	必要としていた		ひつようとしていた		Noun	[]	Japanese
Need	必要としている		ひつようとしている		Noun	[]	Japanese
Need	必要とします		ひつようとします		Noun	[]	Japanese
Need	必要とする		ひつようとする		Noun	[]	Japanese
Need	欲しかったり		ほっしかったり		Noun	[]	Japanese
Need	要		よう		Noun	[]	Japanese
Need	要した		ようした		Noun	[]	Japanese
Need	要します		ようします		Noun	[]	Japanese
Need	要った		ようった		Noun	[]	Japanese
Need	要ら		いら		Noun	[]	Japanese
Need	要り		いり		Noun	[]	Japanese
Need	要ります		いります		Noun	[]	Japanese
Need	要る		いる		Noun	[]	Japanese
Need	貧困		ひんこん		Noun	[]	Japanese
Need	на́до			nado	Verb	[]	Russian
Need	надо			nado	Verb	[]	Russian
Need	ну́жный			nuzhnyi	Verb	[]	Russian
Need	нужда́			nuzhda	Verb	[]	Russian
Need	нужен			nužen	Verb	[]	Russian
Need	нужна			nužna	Verb	[]	Russian
Need	нужно			nužno	Verb	[]	Russian
Need	нужны			nužny	Verb	[]	Russian
Need	потре́бность			potrebnost'	Verb	[]	Russian
Need	necesidad				Noun	[]	Spanish
Need	necesita				Noun	[]	Spanish
Need	necesitamos				Noun	[]	Spanish
Need	necesitan				Noun	[]	Spanish
Need	necesitar				Noun	[]	Spanish
Need	necesitaría				Noun	[]	Spanish
Need	necesitas				Noun	[]	Spanish
Need	necesito				Noun	[]	Spanish
Need Not	不必	bù bì			Noun	[]	Chinese
Need To	得	dé			Noun	[]	Chinese
Need To	需要	xū yào			Noun	[]	Chinese
Need To	a besoin d'				Noun	[]	French
Need To	ai besoin d'				Noun	[]	French
Need To	as besoin d'				Noun	[]	French
Need To	avez besoin d'				Noun	[]	French
Need To	avoir besoin d'				Noun	[]	French
Need To	avons besoin d'				Noun	[]	French
Need To	devez				Noun	[]	French
Need To	devoir				Noun	[]	French
Need To	devons				Noun	[]	French
Need To	dois				Noun	[]	French
Need To	doit				Noun	[]	French
Need To	doivent				Noun	[]	French
Need To	ont besoin d'				Noun	[]	French
Need To	〜なきゃ		〜なきゃ		Noun	[]	Japanese
Need To	〜なくちゃ		〜なくちゃ		Noun	[]	Japanese
Need To	〜なくてはならない		〜なくてはならない		Noun	[]	Japanese
Need To	〜なくてはなりません		〜なくてはなりません		Noun	[]	Japanese
Need To	〜なければいけない		〜なければいけない		Noun	[]	Japanese
Need To	〜なければいけません		〜なければいけません		Noun	[]	Japanese
Need To	〜なければならない		〜なければならない		Noun	[]	Japanese
Need To	〜なければなりません		〜なければなりません		Noun	[]	Japanese
Need To	といけません		といけません		Noun	[]	Japanese
Need To	なきゃ		なきゃ		Noun	[]	Japanese
Need To	必要があります		ひつようがあります		Noun	[]	Japanese
Need To	必要がある		ひつようがある		Noun	[]	Japanese
Need To	必要だ		ひつようだ		Noun	[]	Japanese
Need To	必要です		ひつようです		Noun	[]	Japanese
Need To	надо			nado	Noun	[]	Russian
Need To	нужно			nuzhno	Noun	[]	Russian
Need To	deber				Noun	[]	Spanish
Need To	necesitar				Noun	[]	Spanish
Need To Be	需要被	xū yào bèi			Noun	[]	Chinese
Need To Be	avoir besoin d'être				Noun	[]	French
Need To Be	devoir être				Noun	[]	French
Need To Be	falloir être				Noun	[]	French
Need To Be	être à balayer				Noun	[]	French
Need To Be	être à dépoussiérer				Noun	[]	French
Need To Be	être à faire				Noun	[]	French
Need To Be	être à jeter				Noun	[]	French
Need To Be	être à laver				Noun	[]	French
Need To Be	être à nettoyer				Noun	[]	French
Need To Be	なる必要がある		なるひつようがある		Noun	[]	Japanese
Need To Be	нужно быть			nuzhno byt'	Noun	[]	Russian
Need To Be	необходимо быть			neobhodimo byt'	Noun	[]	Russian
Need To Be	требуется быть			trebuetsja byt'	Noun	[]	Russian
Need To Be	надо			nado	Noun	[]	Russian
Need To Be	следует			sleduet	Noun	[]	Russian
Need To Be Cultivated	cultiver				Noun	[]	French
Needed	devait				Verb	[]	French
Needed	nécessaire				Verb	[]	French
Needed	brauchte				Verb	[]	German
Needed	brauchten				Verb	[]	German
Needed	brauchtest				Verb	[]	German
Needed	brauchtet				Verb	[]	German
Needed	gebraucht				Verb	[]	German
Needed	gemusst				Verb	[]	German
Needed	musste				Verb	[]	German
Needed	mussten				Verb	[]	German
Needed	musstest				Verb	[]	German
Needed	musstet				Verb	[]	German
Needed	要り		いり		Verb	[]	Japanese
Needed	нужен			nužen	Verb	[]	Russian
Needed	нужно			nužno	Verb	[]	Russian
Needed	нужны были			nuzhny byli	Verb	[]	Russian
Needed	нужен был			nuzhen byl	Verb	[]	Russian
Needed	нужно было			nuzhno bylo	Verb	[]	Russian
Needed	нужна была			nuzhna byla	Verb	[]	Russian
Needed	necesario				Verb	[]	Spanish
Needed	necesitaba				Verb	[]	Spanish
Needed	necesitaban				Verb	[]	Spanish
Needed	necesitabas				Verb	[]	Spanish
Needed	necesitar				Verb	[]	Spanish
Needed	necesitaron				Verb	[]	Spanish
Needed	necesitaré				Verb	[]	Spanish
Needed	necesitaría				Verb	[]	Spanish
Needed	necesitaste				Verb	[]	Spanish
Needed	necesitábamos				Verb	[]	Spanish
Needed	necesitó				Verb	[]	Spanish
Needle	aiguille				Noun	[]	French
Needle	Pin				Noun	[]	German
Needle	注射		ちゅうしゃ		Noun	[]	Japanese
Needless To Say	évidemment				Noun	[]	French
Needs	必须	bì xū			Noun	[]	Chinese
Needs	要	yào			Noun	[]	Chinese
Needs	需	xū			Noun	[]	Chinese
Needs	需要	xū yào			Noun	[]	Chinese
Needs	が必要です		がひつようです		Noun	[]	Japanese
Needs	надо			nado	Noun	[]	Russian
Needs	нужен			nužen	Noun	[]	Russian
Needs	нужна			nužna	Noun	[]	Russian
Needs	нужно			nužno	Noun	[]	Russian
Needs	нуждаться			nuzhdat'sja	Noun	[]	Russian
Needs	нужны			nuzhny	Noun	[]	Russian
Needs	нуждается			nuzhdaetsja	Noun	[]	Russian
Needs	нуждается в			nuzhdaetsja v	Noun	[]	Russian
Needs	debe				Noun	[]	Spanish
Needs	necesidades				Noun	[]	Spanish
Needs	necesita				Noun	[]	Spanish
Needs	necesitan				Noun	[]	Spanish
Needs	necesitar				Noun	[]	Spanish
Needs	necesitara				Noun	[]	Spanish
Needs	necesite				Noun	[]	Spanish
Needs	precisa				Noun	[]	Spanish
Needs Them	las necesita				Noun	[]	Spanish
Needs Them	los necesita				Noun	[]	Spanish
Needs Them For Dinner	las necesita				Noun	[]	Spanish
Needs To	doit				Noun	[]	French
Negation	la négation				Noun	[]	French
Negation	否定		ひてい		Noun	[]	Japanese
Negative	否定	fǒudìng			Adjective	[]	Chinese
Negative	消极	xiāo jí			Adjective	[]	Chinese
Negative	负面	fù miàn			Adjective	[]	Chinese
Negative	负面的	fù miàn de			Adjective	[]	Chinese
Negative	cliché				Noun	[]	French
Negative	négatif				Noun	[]	French
Negative	Negativ-				Noun	[]	German
Negative	悪い		わるい		Noun	[]	Japanese
Negative	минус			minus	Noun	[]	Russian
Negative	отрица́тельный			otricatelʹnyj	Noun	[]	Russian
Negative	отрицательный			otricatelʹnyj	Noun	[]	Russian
Negative	negativo				Noun	[]	Spanish
Negative Balance	le découvert				Noun	[]	French
Negative Review	差评	chà píng			Noun	[]	Chinese
Negatively	negativ				Adverb	[]	German
Negatively	後ろ向きに		うしろむきに		Adverb	[]	Japanese
Neglect	疏忽	shūhū			Verb	[]	Chinese
Neglect	négliger				Noun	[]	French
Neglect	vernachlässigen				Verb	[]	German
Neglect	怠る		おこたる		Noun	[]	Japanese
Neglect	запусти́ть			zapustitʹ	Verb	[]	Russian
Neglected	à l'abandon				Verb	[]	French
Negligence	疏忽	shū hū			Noun	[]	Chinese
Negociate	négocier				Noun	[]	French
Negotiate	交涉	jiāoshè			Verb	[]	Chinese
Negotiate	协商	xié shāng			Verb	[]	Chinese
Negotiate	磋商	cuōshāng			Verb	[]	Chinese
Negotiate	discutez				Noun	[]	French
Negotiate	négocier				Noun	[]	French
Negotiate	négocions				Noun	[]	French
Negotiate	traités				Noun	[]	French
Negotiate	Einzelhandel				Noun	[]	German
Negotiate	交渉		こうしょう		Noun	[]	Japanese
Negotiate	交渉する		こうしょうする		Noun	[]	Japanese
Negotiate	вести переговоры			vesti peregovory	Noun	[]	Russian
Negotiate	договариваться			dogovarivat'sja	Noun	[]	Russian
Negotiate	договоримся			dogovorimsja	Noun	[]	Russian
Negotiate	договорилась			dogovorilas'	Noun	[]	Russian
Negotiate	договориться			dogovoritʹsâ	Noun	[]	Russian
Negotiate	negociar				Noun	[]	Spanish
Negotiate	negocies				Noun	[]	Spanish
Negotiate Price	砍价	kǎn jià			Noun	[]	Chinese
Negotiated	aushandeln				Verb	[]	German
Negotiated	vereinbaren				Verb	[]	German
Negotiated	verhandeln				Verb	[]	German
Negotiating	谈判	tán pàn			Verb	[]	Chinese
Negotiating	négocier				Verb	[]	French
Negotiating	verhandeln				Verb	[]	German
Negotiating	договориться			dogovoritʹsâ	Verb	[]	Russian
Negotiation	谈判	tánpàn			Noun	[]	Chinese
Negotiation	交渉		こうしょう		Noun	[]	Japanese
Negotiation	渉		わたる		Noun	[]	Japanese
Negotiations	交渉		こうしょう		Noun	[]	Japanese
Negotiations	渉		わたる		Noun	[]	Japanese
Negotiations	перегово́ры			peregovory	Noun	[]	Russian
Nehmen To Captivate	gefangen				Verb	[]	German
Neighbor	邻居	lín jū			Noun	[]	Chinese
Neighbor	voisin				Noun	[]	French
Neighbor	Anwohner				Noun	[]	German
Neighbor	Nachbar				Noun	[]	German
Neighbor	Nachbarin				Noun	[]	German
Neighbor	Nachbarn				Noun	[]	German
Neighbor	きんじょの人		きんじょのにん		Noun	[]	Japanese
Neighbor	となりの人		となりのにん		Noun	[]	Japanese
Neighbor	近所の人		きんじょのにん		Noun	[]	Japanese
Neighbor	隣人		りんじん		Noun	[]	Japanese
Neighbor	сосед			sosed	Noun	[]	Russian
Neighbor	соседа			soseda	Noun	[]	Russian
Neighbor	соседка			sosedka	Noun	[]	Russian
Neighbor	соседу			sosedu	Noun	[]	Russian
Neighbor	соседом			sosedom	Noun	[]	Russian
Neighbor	соседе			sosede	Noun	[]	Russian
Neighbor	которого			kotorogo	Noun	[]	Russian
Neighbor	vecina				Noun	[]	Spanish
Neighbor	vecino				Noun	[]	Spanish
Neighbor’s	vecino				Noun	[]	Spanish
Neighborhood	小区	xiǎo qū			Noun	[]	Chinese
Neighborhood	街区	jiē qū			Noun	[]	Chinese
Neighborhood	街坊	jiē fāng			Noun	[]	Chinese
Neighborhood	这附近	zhè fù jìn			Noun	[]	Chinese
Neighborhood	附近	fù jìn			Noun	[]	Chinese
Neighborhood	alentours				Noun	[]	French
Neighborhood	bastille				Noun	[]	French
Neighborhood	parages				Noun	[]	French
Neighborhood	quartier				Noun	[]	French
Neighborhood	voisinage				Noun	[]	French
Neighborhood	das Viertel				Noun	[]	German
Neighborhood	die Nachbarschaft				Noun	[]	German
Neighborhood	die Umgebung				Noun	[]	German
Neighborhood	Nachbarschaft				Noun	[]	German
Neighborhood	Stadtteil				Noun	[]	German
Neighborhood	Stadtviertel				Noun	[]	German
Neighborhood	Umgebung				Noun	[]	German
Neighborhood	Viertel				Noun	[]	German
Neighborhood	Wohnviertel				Noun	[]	German
Neighborhood	下町		したまち		Noun	[]	Japanese
Neighborhood	地域		ちいき		Noun	[]	Japanese
Neighborhood	浅草		あさくさ		Noun	[]	Japanese
Neighborhood	町		まち		Noun	[]	Japanese
Neighborhood	町内		ちょうない		Noun	[]	Japanese
Neighborhood	近く		ちかく		Noun	[]	Japanese
Neighborhood	近所		きんじょ		Noun	[]	Japanese
Neighborhood	район			rajon	Noun	[]	Russian
Neighborhood	районе			raione	Noun	[]	Russian
Neighborhood	окрестности			okrestnosti	Noun	[]	Russian
Neighborhood	соседство			sosedstvo	Noun	[]	Russian
Neighborhood	района			raiona	Noun	[]	Russian
Neighborhood	barrio				Noun	[]	Spanish
Neighborhood	vecindario				Noun	[]	Spanish
Neighborhoods	Stadtviertel				Noun	[]	German
Neighborhoods	地域		ちいき		Noun	[]	Japanese
Neighborhood's	comunidad				Noun	[]	Spanish
Neighboring	邻近的	lín jìn de			Verb	[]	Chinese
Neighboring	voisin				Verb	[]	French
Neighboring	benachbart				Verb	[]	German
Neighboring	となり		となり		Verb	[]	Japanese
Neighboring	隣接する		りんせつする		Verb	[]	Japanese
Neighboring	соседний			sosednii	Verb	[]	Russian
Neighboring	vecino				Verb	[]	Spanish
Neighborly Relations	邻里关系	lín lǐ guān xì			Noun	[]	Chinese
Neighbors	们	men			Noun	[]	Chinese
Neighbors	Nachbarn				Noun	[]	German
Neighbors	近所		きんじょ		Noun	[]	Japanese
Neighbors	соседи			sosedi	Noun	[]	Russian
Neighbors'	Nachbarn				Noun	[]	German
Neighbor's	Nachbarn				Noun	[]	German
Neighbor's	vecino				Noun	[]	Spanish
Neighbour	Nachbar				Noun	[]	German
Neighbour	Nachbarin				Noun	[]	German
Neighbour	сосе́д			sosed	Noun	[]	Russian
Neighbour	сосе́дка			sosedka	Noun	[]	Russian
Neighbour	сосед			sosed	Noun	[]	Russian
Neighbourhood	近所		きんじょ		Noun	[]	Japanese
Neighbourhood	окру́га			okruga	Noun	[]	Russian
Neighbouring	сосе́дний			sosednii	Verb	[]	Russian
Neighbours	соседи			sosedi	Noun	[]	Russian
Neither	不	bù			Noun	[]	Chinese
Neither	既不	jì bù			Noun	[]	Chinese
Neither	ni l'autre				Noun	[]	French
Neither	ni l'un				Noun	[]	French
Neither	...もまた...ない		...もまた...ない		Noun	[]	Japanese
Neither	でも		でも		Noun	[]	Japanese
Neither	にも		にも		Noun	[]	Japanese
Neither	両方		りょうほう		Noun	[]	Japanese
Neither	ни			ni	Noun	[]	Russian
Neither	нет ни			net ni	Noun	[]	Russian
Neither	ninguna				Noun	[]	Spanish
Neither	ninguno				Noun	[]	Spanish
Neither	tampoco				Noun	[]	Spanish
Neither ... Nor	も		も		Noun	[]	Japanese
Neither Do I	我也不	wǒ yě bù			Noun	[]	Chinese
Neither Do I	私もそうです		わたしもそうです		Noun	[]	Japanese
Neither Do I	я тоже нет			ja tozhe net	Noun	[]	Russian
Neither Do I	я тоже не			ja tozhe ne	Noun	[]	Russian
Neither Do I	и я тоже нет			i ja tozhe net	Noun	[]	Russian
Neither Do I	и я тоже не			i ja tozhe ne	Noun	[]	Russian
Neither Of	两者都不	liǎng zhě dōu bù			Noun	[]	Chinese
Neither Of	ni l'un ni l'autre				Noun	[]	French
Neither Of	ni l'un ni l'autre des				Noun	[]	French
Neither Of	どちらの		どちらの		Noun	[]	Japanese
Neither Of	どちらも		どちらも		Noun	[]	Japanese
Neither Of	ни один из			ni odin iz	Noun	[]	Russian
Neither Of	ни одна из			ni odna iz	Noun	[]	Russian
Neither Of	ни одно из			ni odno iz	Noun	[]	Russian
Nepal	ネパール		ネパール		Noun	[]	Japanese
Nephew	侄子	zhízi			Noun	[]	Chinese
Nephew	外甥	wài shēng			Noun	[]	Chinese
Nephew	neveu				Noun	[]	French
Nephew	Neffe				Noun	[]	German
Nephew	Neffen				Noun	[]	German
Nephew	おい		おい		Noun	[]	Japanese
Nephew	おいっこ		おいっこ		Noun	[]	Japanese
Nephew	甥		おい		Noun	[]	Japanese
Nephew	племянник			plemânnik	Noun	[]	Russian
Nephew	el sobrino				Noun	[]	Spanish
Nephew	sobrino				Noun	[]	Spanish
Nephews	Neffen				Noun	[]	German
Nephews	甥		おい		Noun	[]	Japanese
Nephew's	neveu				Noun	[]	French
Nephew's	Neffe				Noun	[]	German
Nephew's	sobrino				Noun	[]	Spanish
Nerd	オタク		オタク		Noun	[]	Japanese
Nerds	オタク		オタク		Noun	[]	Japanese
Nerve	神经	shénjīng			Noun	[]	Chinese
Nerve	culot				Noun	[]	French
Nerve	estomac				Noun	[]	French
Nerve	神経		しんけい		Noun	[]	Japanese
Nerve	нерв			nerv	Noun	[]	Russian
Nerves	きんちょうし		きんちょうし		Noun	[]	Japanese
Nerves	神経		しんけい		Noun	[]	Japanese
Nervous	紧张	jǐn zhāng			Adjective	[]	Chinese
Nervous	agité				Adjective	[]	French
Nervous	nerveux				Adjective	[]	French
Nervous	緊		きん		Noun	[]	Japanese
Nervous	緊張して		きんちょうして		Noun	[]	Japanese
Nervous	не́рвный			nervnyi	Noun	[]	Russian
Nervous	нервный			nervnyi	Noun	[]	Russian
Nervous	nerviosa				Noun	[]	Spanish
Nervous	nerviosas				Noun	[]	Spanish
Nervous	nervioso				Noun	[]	Spanish
Nervous	nerviosos				Noun	[]	Spanish
Nervous System	le système nerveux				Noun	[]	French
Nervously	nervös				Adverb	[]	German
Nervously	не́рвно			nervno	Adverb	[]	Russian
Nervousness	緊張		きんちょう		Noun	[]	Japanese
Nest	巢穴	cháoxué			Noun	[]	Chinese
Nest	窝	wō			Noun	[]	Chinese
Nest	nid				Noun	[]	French
Nest	Nest				Noun	[]	German
Nest	巣		す		Noun	[]	Japanese
Nest	棲む		すむ		Noun	[]	Japanese
Nest	гнездо			gnezdo	Noun	[]	Russian
Nest	гнездо́			gnezdo	Noun	[]	Russian
Nests	巣		す		Noun	[]	Japanese
Net	网	wǎng			Noun	[]	Chinese
Net	filet				Noun	[]	French
Net	das Netz				Noun	[]	German
Net	Netz				Noun	[]	German
Net	網		あみ		Noun	[]	Japanese
Net	се́тка			setka	Noun	[]	Russian
Net	сеть			setʹ	Noun	[]	Russian
Net	чи́стый			čistyj	Noun	[]	Russian
Net	líquido				Noun	[]	Spanish
Net	red				Noun	[]	Spanish
Net Earnings	Nettogehalt				Noun	[]	German
Net Income	Nettogehalt				Noun	[]	German
Net Income	手取り		てどり		Noun	[]	Japanese
Net Salary	Nettogehalt				Noun	[]	German
Net Tax Liability After Deductions	la cuota líquida				Noun	[]	Spanish
Network	人脉	rén mài			Verb	[]	Chinese
Network	圈子	quān zi			Verb	[]	Chinese
Network	网络	wǎng luò			Verb	[]	Chinese
Network	réseau				Noun	[]	French
Network	réseau social				Noun	[]	French
Network	ネットワーク		ネットワーク		Noun	[]	Japanese
Network	сеть			setʹ	Verb	[]	Russian
Network	red				Noun	[]	Spanish
Network Configuration	la configuración de la red				Noun	[]	Spanish
Network Of Acquaintances	Bekanntenkreis				Noun	[]	German
Networked	vernetzt				Verb	[]	German
Neuf	neuf				Noun	[]	French
Neumático	neumático				Noun	[]	Spanish
Neurosis	невро́з			nevroz	Noun	[]	Russian
Neuschwanstein	Neuschwanstein				Noun	[]	German
Neuschwanstein Castle	Neuschwanstein				Noun	[]	German
Neuter	сре́дний			srednij	Noun	[]	Russian
Neutral	中立	zhōng lì			Adjective	[]	Chinese
Neutral	neutre				Adjective	[]	French
Neutrally	neutral				Adverb	[]	German
Neva	не́вский			nevskii	Noun	[]	Russian
Never	从未	cóng wèi			Noun	[]	Chinese
Never	决不	jué bù			Noun	[]	Chinese
Never	千万别	qiān wàn bié			Noun	[]	Chinese
Never	jamais				Adverb	[]	French
Never	n' ... jamais				Adverb	[]	French
Never	n'ai				Adverb	[]	French
Never	n’a				Adverb	[]	French
Never	n’y				Adverb	[]	French
Never	Niemals				Noun	[]	German
Never	いつまでも		いつまでも		Noun	[]	Japanese
Never	いつも		いつも		Noun	[]	Japanese
Never	ない		ない		Noun	[]	Japanese
Never	まさか		まさか		Noun	[]	Japanese
Never	一度も		いちども		Noun	[]	Japanese
Never	全く		まったく		Noun	[]	Japanese
Never	決して		けっして		Noun	[]	Japanese
Never	絶対		ぜったい		Noun	[]	Japanese
Never	никогда			nikogda	Noun	[]	Russian
Never	никогда́			nikogda	Noun	[]	Russian
Never	jamás				Noun	[]	Spanish
Never	nunca				Noun	[]	Spanish
Never Been	从未	cóng wèi			Noun	[]	Chinese
Never Been	从未去过	cóng wèi qù guò			Noun	[]	Chinese
Never Been	从未参加过	cóng wèi cān jiā guò			Noun	[]	Chinese
Never Been	从未遇到过	cóng wèi yù dào guò			Noun	[]	Chinese
Never Been	jamais été				Noun	[]	French
Never Been	n'a jamais été				Noun	[]	French
Never Been	n'avoir jamais été				Noun	[]	French
Never Been	ne jamais avoir été				Noun	[]	French
Never Been	決して		けっして		Noun	[]	Japanese
Never Been	nunca había estado				Noun	[]	Spanish
Never Ever	jamás				Noun	[]	Spanish
Never Ever	nunca jamás				Noun	[]	Spanish
Never Have I	从未	cóng wèi			Noun	[]	Chinese
Never Have I	jamais je n'ai				Noun	[]	French
Never Have I	je n'ai jamais				Noun	[]	French
Never Have I	je n'ai jamais eu				Noun	[]	French
Never Have I	je n'ai jamais fait				Noun	[]	French
Never Have I	je n'ai jamais lu				Noun	[]	French
Never Have I	je n'ai jamais passé				Noun	[]	French
Never Have I	je n'ai jamais ressenti				Noun	[]	French
Never Have I	je n'ai jamais travaillé				Noun	[]	French
Never Have I	je n'ai jamais vu				Noun	[]	French
Never Have I	ことはありません		ことはありません		Noun	[]	Japanese
Never Have I	jamás había				Noun	[]	Spanish
Never Have I	jamás he				Noun	[]	Spanish
Never Have I	nunca había				Noun	[]	Spanish
Never Mind	不要紧	búyàojǐn			Noun	[]	Chinese
Never Mind	没关系	méi guān xì			Noun	[]	Chinese
Never Mind	算了	suàn le			Noun	[]	Chinese
Never Mind	ничего страшного			nichego strashnogo	Noun	[]	Russian
Never Used To	以前从来不	yǐ qián cóng lái bù			Noun	[]	Chinese
Never Used To	ne jamais avoir l'habitude de				Noun	[]	French
Never Used To	ne jamais s'inquiéter de				Noun	[]	French
Never Used To	ne jamais être habitué à				Noun	[]	French
Never Used To	以前はしませんでした		いぜんはしませんでした		Noun	[]	Japanese
Never Used To	以前は好きではありませんでした		いぜんはすきではありませんでした		Noun	[]	Japanese
Never Used To	以前は楽しんでいませんでした		いぜんはたのしんでいませんでした		Noun	[]	Japanese
Never Used To	以前は気にしませんでした		いぜんはきにしませんでした		Noun	[]	Japanese
Never Used To	以前は行きませんでした		いぜんはいきませんでした		Noun	[]	Japanese
Never-Ending	interminable				Adjective	[]	French
Nevertheless	尽管如此	jǐn guǎn rú cǐ			Noun	[]	Chinese
Nevertheless	然而	rán ér			Noun	[]	Chinese
Nevertheless	cependant				Adverb	[]	French
Nevertheless	néanmoins				Adverb	[]	French
Nevertheless	toutefois				Adverb	[]	French
Nevertheless	Doch				Noun	[]	German
Nevertheless	Trotzdem				Noun	[]	German
Nevertheless	それにもかかわらず		それにもかかわらず		Noun	[]	Japanese
Nevertheless	ところが		ところが		Noun	[]	Japanese
Nevertheless	тем не менее			tem ne menee	Noun	[]	Russian
Nevertheless	aun así				Adjective	[]	Spanish
New	新	xīn			Adjective	[]	Chinese
New	新型	xīn xíng			Adjective	[]	Chinese
New	新的	xīn de			Adjective	[]	Chinese
New	inédit				Adjective	[]	French
New	neuf				Adjective	[]	French
New	neufs				Adjective	[]	French
New	neuve				Adjective	[]	French
New	neuves				Adjective	[]	French
New	nouveau				Adjective	[]	French
