English	Russian	Latin Letters	Part of Speech
Pier	пирс	pirs	Noun
Pierced	проколотого	prokolotogo	Verb
Pierced	проколотый	prokolotyi	Verb
Pierced	проколото	prokoloto	Verb
Piercing	пирсинг	pirsing	Verb
Piercing	острыми	ostrymi	Verb
Piercing	проколов	prokolov	Verb
Pig	свинья	svinʹâ	Noun
Pig	свинья́	svinʹâ	Noun
Pigeon	голубь	golubʹ	Noun
Pile	вали́ть	valit'	Verb
Pile	кипа	kipa	Verb
Pile	стопка	stopka	Verb
Pile	куче	kuche	Verb
Pile	стопку	stopku	Verb
Pile	стопки	stopki	Verb
Pile	куча	kucha	Verb
Pile	стопкой	stopkoi	Verb
Pile	кучей	kuchei	Verb
Pile	кучку	kuchku	Verb
Pill	таблетка	tabletka	Noun
Pillar Or Column	коло́нна	kolonna	Noun
Pillow	поду́шка	poduška	Noun
Pillow	подушка	poduška	Noun
Pillow	подушке	podushke	Noun
Pillow	диванными	divannymi	Noun
Pillow	подушку	podushku	Noun
Pillow	подушки	podushki	Noun
Pillow	подушкой	podushkoi	Noun
Pillow	подушках	podushkah	Noun
Pillow	диванную	divannuju	Noun
Pilot	лётчик	letchik	Noun
Pilot	пило́т	pilot	Noun
Pilot	пилот	pilot	Noun
Pilot	пилотом	pilotom	Noun
Pine	сосна́	sosna	Noun
Pineapple	ананас	ananas	Noun
Ping Pong	настольный теннис	nastol'nyi tennis	Noun
Pink	ро́зовый	rozovyj	Noun
Pink	розовый	rozovyj	Noun
Pioneer	пионе́р	pioner	Noun
Pipe	труба	truba	Noun
Pipe	труба́	truba	Noun
Pirate	пиратском	piratskom	Noun
Pirate	пират	pirat	Noun
Pirate	пирата	pirata	Noun
Pirate	пиратом	piratom	Noun
Pirate	пиратский	piratskii	Noun
Pistol	ду́ра	dura	Noun
Pistol	пистоле́т	pistolet	Noun
Pit	выбоина	vyboina	Noun
Pit	лунку	lunku	Noun
Pit	выбоину	vyboinu	Noun
Pit	ямку	jamku	Noun
Pit	лункой	lunkoi	Noun
Pit	выбоин	vyboin	Noun
Pit	лунки	lunki	Noun
Piter	Пи́тер	Piter	Noun
Pitiful	жа́лкий	zhalkii	Noun
Pitifully	жа́лко	zhalko	Adverb
Pity	жа́лость	zhalost'	Verb
Pizza	пицца	picca	Noun
Pizzas	пиццы	pitstsy	Noun
Pizzas	пицц	pitsts	Noun
Place	ме́сто	mesto	Noun
Place	месте	meste	Noun
Place	место	mesto	Noun
Place	поставить	postavitʹ	Noun
Placed	поло́женный	polozhennyi	Verb
Placed	положил	položil	Verb
Plain	простой	prostoj	Noun
Plain	простые	prostye	Noun
Plan	план	plan	Noun
Plan	предположе́ние	predpolozhenie	Noun
Plan	тра́сса	trassa	Noun
Plan That Has Been Thought Up But Not Implimented	за́мысел	zamysel	Noun
Plane	самолет	samolet	Noun
Plane	самолете	samolete	Noun
Plane	самолетом	samoletom	Noun
Plane	самолёт	samolët	Noun
Planet	плане́та	planeta	Noun
Planet	планета	planeta	Noun
Planet	планетой	planetoi	Noun
Planet	планет	planet	Noun
Planet	планеты	planety	Noun
Planet	планете	planete	Noun
Planning On	планировать	planirovat'	Noun
Planning On	рассчитывать	rasschityvat'	Noun
Planning On	намереваться	namerevat'sja	Noun
Planning On	собираться	sobirat'sja	Noun
Plans	планы	plany	Noun
Plant	завод	zavod	Verb
Plant	заводе	zavode	Verb
Plant	посадить	posadit'	Verb
Plant	сажаем	sazhaem	Verb
Plant	сажать	sazhat'	Verb
Plant	растение	rastenie	Verb
Plant	растения	rastenija	Verb
Plant	растении	rastenii	Verb
Plant	посеять	posejat'	Verb
Plant	заложи́ть	zalozhit'	Verb
Plant	культу́ра	kul'tura	Verb
Plant	посади́ть	posaditʹ	Verb
Plant	расте́ние	rastenie	Noun
Plant	сажа́ть	sažatʹ	Verb
Plant	ста́нция	stanciâ	Noun
Plant	устано́вка	ustanovka	Verb
Planted	посадить	posaditʹ	Verb
Planted	сажать	sažatʹ	Verb
Planting Plants	поса́дка	posadka	Noun
Plastic	пластик	plastik	Noun
Plate	таре́лка	tarelka	Noun
Plate	тарелка	tarelka	Noun
Plate	тарелке	tarelke	Noun
Plate	тарелки	tarelki	Noun
Plate	тарелку	tarelku	Noun
Plates	тарелки	tarelki	Noun
Plates	тарелок	tarelok	Noun
Platform	платфо́рма	platforma	Noun
Platform	площа́дка	ploschadka	Noun
Platform	трибу́на	tribuna	Noun
Platoon	взвод	vzvod	Noun
Play	игра́	igra	Verb
Play	играй	igraj	Verb
Play	играть	igratʹ	Verb
Play	поставить	postavitʹ	Verb
Play	проиграть	proigratʹ	Verb
Play	пье́са	pʹesa	Verb
Play	пьеса	pʹesa	Verb
Play	спекта́кль	spektaklʹ	Verb
Play	спектакль	spektaklʹ	Verb
Play	сыгра́ть	sygrat'	Verb
Play Sports	занимаешься спортом	zanimaesh'sja sportom	Noun
Play Sports	заниматься спортом	zanimat'sja sportom	Noun
Play Sports	занимаетесь спортом	zanimaetes' sportom	Noun
Play Sports	занимаются спортом	zanimajutsja sportom	Noun
Played	играл	igral	Verb
Played	играли	igrali	Verb
Played	играла	igrala	Verb
Played	проиграл	proigral	Verb
Played	занимался	zanimalsja	Verb
Played	поиграл	poigral	Verb
Played	исполняла	ispolnjala	Verb
Played	сыграл	sygral	Verb
Player	игро́к	igrok	Noun
Player	игрок	igrok	Noun
Player	игроком	igrokom	Noun
Player	плеер	pleer	Noun
Player	плееры	pleery	Noun
Player	игрока	igroka	Noun
Player	плеера	pleera	Noun
Player	игроку	igroku	Noun
Playground	детской площадке	detskoi ploschadke	Noun
Playground	детская площадка	detskaja ploschadka	Noun
Playground	площа́дка	ploschadka	Noun
Playing	играть	igratʹ	Verb
Playing	играющий	igraûŝij	Verb
Playoff	плей-офф	plei-off	Noun
Playoff	плей	plei	Noun
Playoff	офф	off	Noun
Plaza	площадь	ploŝadʹ	Noun
Pleasant	приятно	priâtno	Noun
Please	пожа́луйста	požalujsta	Verb
Please	пожалуйста	požalujsta	Verb
Please Not	пожалуйста	pozhaluista	Noun
Please Not	не	ne	Noun
Please Not	прошу не	proshu ne	Noun
Pleased	дово́льный	dovol'nyi	Verb
Pleased	доволен	dovolen	Verb
Pleased To Meet You	рада познакомиться с вами	rada poznakomit'sja s vami	Noun
Pleased To Meet You	рад познакомиться с вами	rad poznakomit'sja s vami	Noun
Pleasing	уго́дный	ugodnyi	Verb
Pleasure	удово́льствие	udovol'stvie	Noun
Pleasure	удовольствие	udovol'stvie	Noun
Plenty	много	mnogo	Noun
Plenty Of	полно	polno	Noun
Plot	сюже́т	sûžet	Noun
Plot	сюжет	sûžet	Noun
Plot	сюжета	sjuzheta	Noun
Plot Of Land	наде́л	nadel	Noun
Plough Up	распахну́ть	raspahnut'	Verb
Plug	вилка	vilka	Noun
Plug In	включить	vklûčitʹ	Noun
Plug In	включить в розетку	vkljuchit' v rozetku	Noun
Plugs	свеча́	svecha	Noun
Plumber	водопроводчик	vodoprovodchik	Noun
Plumber	сантехник	santehnik	Noun
Plumber	сантехнику	santehniku	Noun
Plumber	специалиста	spetsialista	Noun
Plumber	сантехники	santehniki	Noun
Plumbing	водопровод	vodoprovod	Verb
Plus	плюс	plûs	Noun
Pm	часов	časov	Noun
Pocket	карма́н	karman	Noun
Pocket	кармане	karmane	Noun
Pocket	карман	karman	Noun
Podcast	подкаст	podkast	Noun
Podium	подиум	podium	Noun
Poem	стих́	stih	Noun
Poem	стихи	stihi	Noun
Poem	стихотворе́ние	stihotvorenie	Noun
Poem	стихотворение	stihotvorenie	Noun
Poems	стихи	stihi	Noun
Poet	поэ́т	poét	Noun
Poet	поэт	poét	Noun
Poet	поэта	poeta	Noun
Poet	поэту	poetu	Noun
Poet	поэтах	poetah	Noun
Poet	поэтом	poetom	Noun
Poetry	поэ́зия	poezija	Noun
Poetry	поэзия	poezija	Noun
Poetry	стихи	stihi	Noun
Point	момент	moment	Verb
Point	очко́	ochko	Verb
Point	пункт	punkt	Verb
Point	соль	solʹ	Verb
Point	суть	sut'	Verb
Point	то́чка	točka	Verb
Point	точка	točka	Verb
Point Of View	точку зрения	tochku zrenija	Noun
Point Of View	точкой зрения	tochkoi zrenija	Noun
Points	очки	očki	Noun
Poison	отравили	otravili	Noun
Poison	яд	jad	Noun
Poison	отравить	otravit'	Noun
Poison	ядом	jadom	Noun
Poison	отравляют	otravljajut	Noun
Poisonous	ядовитый	jadovityi	Noun
Poland	По́льша	polʹša	Noun
Poland	польша	polʹša	Noun
Polar Bear	полярный медведь	poljarnyi medved'	Noun
Pole	полюс	polûs	Noun
Police	му́сор	musor	Noun
Police	поли́ция	policiâ	Noun
Police	полиция	policiâ	Noun
Police Constable	стра́жник	strazhnik	Noun
Police Officer	полицейский	politseiskii	Noun
Police Report	заявление в полицию	zajavlenie v politsiju	Noun
Police Station	полицейского участка	politseiskogo uchastka	Noun
Police Station	полицейский участок	politseiskii uchastok	Noun
Police Station	полицейским участком	politseiskim uchastkom	Noun
Police Station	уча́сток	uchastok	Noun
Policeman	милиционе́р	militsioner	Noun
Policy	поли́тика	politika	Noun
Polish	по́льский	polʹskij	Noun
Polish	польский	polʹskij	Noun
Polite	ве́жливый	vezhlivyi	Noun
Polite	вежливый	vezhlivyi	Noun
Politely	ве́жливо	vezhlivo	Adverb
Politely	вежливо	vezhlivo	Adverb
Political	полити́ческий	politicheskii	Noun
Political	политический	politicheskii	Noun
Political Bureau	политбюро́	politbjuro	Noun
Political Figure	поли́тик	politik	Noun
Politician	политик	politik	Noun
Politician	политики	politiki	Noun
Politician	политика	politika	Noun
Politician	политиком	politikom	Noun
Politician	политикам	politikam	Noun
Politics	поли́тика	politika	Noun
Politics	политика	politika	Noun
Pollute	загрязнять	zagrjaznjat'	Noun
Pollution	загрязнение	zagrjaznenie	Noun
Pond	пруд	prud	Noun
Pond	пруду	prudu	Noun
Pond	пруда	pruda	Noun
Pond	озеру	ozeru	Noun
Pond	прудом	prudom	Noun
Ponder	размышля́ть	razmyshljat'	Verb
Ponderance	размышле́ние	razmyshlenie	Noun
Pool	бассе́йн	bassein	Noun
Pool	бассейн	bassein	Noun
Pool	бассейне	basseine	Noun
Pool	бассейна	basseina	Noun
Poor	бе́дный	bednyj	Noun
Poor	бедный	bednyj	Noun
Poor	сла́бый	slabyj	Noun
Poor Thing	бедняжка	bednjazhka	Noun
Poor Thing	бедняга	bednjaga	Noun
Poor Thing	несчастный	neschastnyi	Noun
Poor Thing	несчастная	neschastnaja	Noun
Poorly	плохо	ploho	Adverb
Pop	поп	pop	Noun
Pop Culture	поп-культура	pop-kul'tura	Noun
Popcorn	попко́рн	popkorn	Noun
Popcorn	попкорн	popkorn	Noun
Popcorn	попкорна	popkorna	Noun
Pope	па́па	papa	Noun
Poppy	мак	mak	Noun
Poppy-Seed	мак	mak	Verb
Popular	популя́рный	populjarnyi	Noun
Popular	популярный	populjarnyi	Noun
Population	населе́ние	naselenie	Noun
Population	население	naselenie	Noun
Porch	крыльцо́	kryl'tso	Noun
Pore	по́ра	pora	Noun
Pork	свинина	svinina	Noun
Porridge	ка́ша	kaša	Noun
Porridge	каша	kaša	Noun
Port	порт	port	Noun
Port	порту	portu	Noun
Port	порта	porta	Noun
Port	терминал	terminal	Noun
Port	портом	portom	Noun
Port	портовом	portovom	Noun
Portable Radio Transmitter	ра́ция	ratsija	Noun
Portion	по́рция	portsija	Noun
Portion	частей	chastei	Noun
Portion	доля	dolja	Noun
Portion	порция	portsija	Noun
Portion	доли	doli	Noun
Portion	часть	chast'	Noun
Portion	остаток	ostatok	Noun
Portion	дольку	dol'ku	Noun
Portrait	портре́т	portret	Noun
Portrait	портрет	portret	Noun
Portrait	портретах	portretah	Noun
Portrait	портретом	portretom	Noun
Portrait	изображением	izobrazheniem	Noun
Portrait	портретов	portretov	Noun
Pose	по́за	poza	Noun
Position	до́лжность	dolzhnost'	Verb
Position	пози́ция	pozitsija	Noun
Position	позиция	pozitsija	Verb
Position	должность	dolzhnost'	Verb
Position	должности	dolzhnosti	Verb
Position	положе́ние	polozhenie	Noun
Position	разверну́ть	razvernut'	Verb
Positive	положи́тельный	položitelʹnyj	Noun
Positive	положительный	položitelʹnyj	Noun
Possess	облада́ть	obladat'	Verb
Possibility	возмо́жность	vozmožnostʹ	Verb
Possibility	возможность	vozmožnostʹ	Verb
Possibility	возможности	vozmozhnosti	Verb
Possible	возмо́жный	vozmozhnyi	Noun
Possible	можно	možno	Noun
Possible To	возможно	vozmozhno	Noun
Possible To	можно	mozhno	Noun
Possible To	допустимо	dopustimo	Noun
Possible To	вероятно	verojatno	Noun
Possible To	осуществимо	osuschestvimo	Noun
Possible To	возможно ли	vozmozhno li	Noun
Possible To	реально	real'no	Noun
Possibly	возможно	vozmozhno	Adverb
Post	по́чта	počta	Noun
Post	после	posle	Noun
Post	пост	post	Noun
Post	выложу	vylozhu	Noun
Post	почту	pochtu	Noun
Post	почта	pochta	Noun
Post	выложим	vylozhim	Noun
Post	выложат	vylozhat	Noun
Post	выкладывать	vykladyvat'	Noun
Post	выложить	vylozhit'	Noun
Post	почто́вый	pochtovyi	Noun
Post Office	почтовом отделении	pochtovom otdelenii	Noun
Post Office	почтовое отделение	pochtovoe otdelenie	Noun
Post Office	почту	pochtu	Noun
Post Office	почте	pochte	Noun
Post Pole Or Pillar	столб	stolb	Noun
Postcard	почтовую открытку	pochtovuju otkrytku	Noun
Postcard	открытку	otkrytku	Noun
Postcard	открыток	otkrytok	Noun
Postcard	открытка	otkrytka	Noun
Postcard	почтовые	pochtovye	Noun
Postcard	почтовую	pochtovuju	Noun
Poster	плака́т	plakat	Noun
Poster	плакат	plakat	Noun
Pot	горшо́к	gorshok	Noun
Pot	кастрюля	kastrûlâ	Noun
Pot	кастрюлю	kastrjulju	Noun
Pot	кастрюли	kastrjuli	Noun
Pot Or Kettle For Cooking	котело́к	kotelok	Noun
Potato	карто́шка	kartoška	Noun
Potato	картошка	kartoška	Noun
Potato Chips	картофельные чипсы	kartofel'nye chipsy	Noun
Potatoes	картошка	kartoška	Noun
Potatoes Are	картошка	kartoška	Noun
Potential	потенциал	potentsial	Noun
Potentially	возможно	vozmozhno	Adverb
Pothole	выбоина	vyboina	Noun
Pothole	яма	jama	Noun
Pothole	выбоину	vyboinu	Noun
Pothole	выбоин	vyboin	Noun
Potluck	совместный ужин	sovmestnyi uzhin	Noun
Potluck	совместную вечеринку	sovmestnuju vecherinku	Noun
Potluck	складчину	skladchinu	Noun
Pottery	керамика	keramika	Noun
Poultry	птица	ptica	Noun
Pound	забьёт	zab'et	Noun
Pound	фунт	funt	Noun
Pound	колотится	kolotitsja	Noun
Pound	барабанит	barabanit	Noun
Pound	колотилось	kolotilos'	Noun
Pound	забьют	zab'jut	Noun
Pound	фунта	funta	Noun
Pound	стучал	stuchal	Noun
Poverty	бедность	bednost'	Noun
Powder	порошо́к	poroshok	Noun
Powder	порошок	poroshok	Noun
Power	власть	vlastʹ	Verb
Power	во́ля	volja	Verb
Power	держа́ва	derzhava	Verb
Power	мо́щность	moschnost'	Verb
Power	пита́ние	pitanie	Noun
Power	си́ла	sila	Verb
Power	энергия	energija	Verb
Power	сила	sila	Verb
Power	силу	silu	Verb
Powerful	мо́щный	moschnyi	Noun
Powerful	могу́чий	moguchii	Noun
Powerful	сильный	silʹnyj	Noun
Powerful	мощный	moschnyi	Noun
Practical	практи́ческий	prakticheskii	Noun
Practical	практический	prakticheskii	Noun
Practical	практичный	praktichnyi	Noun
Practical	хозя́йственный	hozjaistvennyi	Noun
Practical Worker	пра́ктик	praktik	Noun
Practically	практи́чески	prakticheski	Adverb
Practically	практически	prakticheski	Adverb
Practice	заниматься	zanimatʹsâ	Noun
Practice	занятия	zanâtiâ	Noun
Practice	пра́ктика	praktika	Noun
Practicing	заниматься	zanimatʹsâ	Verb
Pray	моли́ться	molitʹsâ	Verb
Pray	молитесь	molites'	Verb
Pray	молись	molis'	Verb
Pray	молятся	moljatsja	Verb
Pray	молиться	molit'sja	Verb
Prayer	моли́тва	molitva	Noun
Prayer	молитва	molitva	Noun
Prayer	молитве	molitve	Noun
Prayer	молитв	molitv	Noun
Prayer	молитвой	molitvoi	Noun
Pre	до	do	Noun
Precious	драгоце́нный	dragotsennyi	Noun
Precisely	точно	točno	Adverb
Predict	предсказать	predskazat'	Noun
Predict	предсказывают	predskazyvajut	Noun
Predict	предсказывать	predskazyvat'	Noun
Predict	предсказываем	predskazyvaem	Noun
Preference	предпочтение	predpochtenie	Noun
Preference	преиму́щество	preimuschestvo	Noun
Preferred	предпочитал	predpochital	Verb
Preferred	предпочитали	predpochitali	Verb
Pregnant	беременных	beremennyh	Noun
Pregnant	беременны	beremenny	Noun
Pregnant	беременной	beremennoi	Noun
Pregnant	беременна	beremenna	Noun
Pregnant	беременные	beremennye	Noun
Preliminary	предвари́тельный	predvaritel'nyi	Noun
Premiere	премье́ра	prem'era	Noun
Premise	усло́вие	uslovie	Noun
Preparation	подгото́вка	podgotovka	Noun
Preparation	подготовка	podgotovka	Noun
Prepare	готовиться	gotovitʹsâ	Noun
Prepare	приготовить	prigotovitʹ	Noun
Prepares	готовит	gotovit	Noun
Preparing	готовит	gotovit	Verb
Preparing	готовиться	gotovitʹsâ	Verb
Prescribe	назна́чить	naznachit'	Verb
Prescribe	назнача́ть	naznachat'	Verb
Presence	прису́тствие	prisutstvie	Noun
Present	настоя́щий	nastoâŝij	Verb
Present	пода́рок	podarok	Verb
Present	подарок	podarok	Verb
Present	показывать	pokazyvatʹ	Verb
Present	предъяви́ть	pred'javit'	Verb
Present	прису́тствующий	prisutstvujuschii	Verb
Present Itself	предста́виться	predstavit'sja	Verb
Present Itself	представля́ться	predstavljat'sja	Verb
Presentation	представле́ние	predstavlenie	Noun
Preservation	сохране́ние	sohranenie	Noun
President	президе́нт	prezident	Noun
President	президент	prezident	Noun
President	президента	prezidenta	Noun
President	президентом	prezidentom	Noun
President	президенту	prezidentu	Noun
President	президенты	prezidenty	Noun
Press	нажа́ть	nažatʹ	Verb
Press	нажать	nažatʹ	Verb
Pressing	нажать	nažatʹ	Verb
Pressure	дави́ть	davit'	Verb
Pressure	давле́ние	davlenie	Noun
Pressure	давление	davlenie	Verb
Pretend	вы́дать	vydat'	Verb
Pretend	притворяйся	pritvorjaisja	Verb
Prettier	симпатичнее	simpatichnee	Noun
Pretty	достаточно	dostatočno	Noun
Pretty	красивые	krasivye	Noun
Pretty	красивый	krasivyj	Noun
Pretty Much	почти	počti	Noun
Pretty Sure	почти уверен	pochti uveren	Noun
Prevention	предотвращение	predotvraschenie	Noun
Previous	предыду́щий	predyduschii	Noun
Previous	прошлый	prošlyj	Noun
Previously	ранее	ranee	Adverb
Previously	раньше	ranʹše	Adverb
Prey	добы́ча	dobycha	Noun
Price	цена	cena	Noun
Price	цену	tsenu	Noun
Price Is	цена	cena	Noun
Priced	цена	cena	Verb
Pride	го́рдость	gordost'	Verb
Priest	поп	pop	Noun
Priest	свяще́нник	svjaschennik	Noun
Priest	священнику	svjaschenniku	Noun
Priest	священник	svjaschennik	Noun
Priest	приходским	prihodskim	Noun
Prime	просто́й	prostoj	Noun
Prime Minister	премье́р	prem'er	Noun
Prince	князь	knjaz'	Noun
Prince	принц	prints	Noun
Prince	принцу	printsu	Noun
Prince	принца	printsa	Noun
Prince	принцем	printsem	Noun
Prince	принце	printse	Noun
Princess	принце́сса	printsessa	Noun
Princess	принцесса	printsessa	Noun
Princess	принцессу	printsessu	Noun
Princess	принцессе	printsesse	Noun
Princess	принцессой	printsessoi	Noun
Principal	директор	direktor	Noun
Principal	директора	direktora	Noun
Principals	директора	direktora	Noun
Principle	при́нцип	printsip	Noun
Principles	нача́ло	načalo	Noun
Print	напечатать	napečatatʹ	Verb
Print	печа́тать	pechatat'	Verb
Printer	принтере	printere	Noun
Printer	принтера	printera	Noun
Printer	принтер	printer	Noun
Printer	принтеру	printeru	Noun
Printers	принтера	printera	Noun
Printers	принтеров	printerov	Noun
Printers	принтеры	printery	Noun
Prior	до	do	Noun
Prior	перед	pered	Noun
Prior	предварительный	predvaritel'nyi	Noun
Prior To	до	do	Noun
Prior To	перед	pered	Noun
Prior To	прежде чем	prezhde chem	Noun
Prior To	за	za	Noun
Prior To	до того как	do togo kak	Noun
Prior To	перед тем как	pered tem kak	Noun
Prior To	до того момента как	do togo momenta kak	Noun
Priority	приоритетом	prioritetom	Noun
Prison	тюре́мный	tjuremnyi	Noun
Prison	тюрьма	tûrʹma	Noun
Prison	тюрьма́	tûrʹma	Noun
Prison Bars	решётка	reshetka	Noun
Prisoner	пле́нный	plennyi	Noun
Prisoner	язы́к	âzyk	Noun
Privacy	приватность	privatnost'	Noun
Private	личный	lichnyi	Noun
Private	рядово́й	rjadovoi	Noun
Private	ча́стный	chastnyi	Noun
Privilege	преиму́щество	preimuschestvo	Noun
Prize	приз	priz	Noun
Probably	вероя́тно	verojatno	Adverb
Probably	наве́рно	naverno	Adverb
Probably	наве́рное	navernoe	Adjective
Probably	пожалуй	pozhalui	Adverb
Probably	скорее всего	skoree vsego	Adverb
Probation	испытательный срок	ispytatel'nyi srok	Noun
Problem	вопро́с	vopros	Noun
Problem	задача	zadača	Noun
Problem	пробле́ма	problema	Noun
Problem	проблема	problema	Noun
Problem	проблемы	problemy	Noun
Problems	проблемы	problemy	Noun
Procedure	процеду́ра	protsedura	Noun
Process	проце́сс	process	Noun
Process	процесс	process	Noun
Produce	предъяви́ть	pred'javit'	Verb
Produce	производите	proizvodite	Verb
Produce	производят	proizvodjat	Verb
Producer	режиссёр	režissër	Noun
Product	изде́лие	izdelie	Noun
Product	проду́кт	produkt	Noun
Product	произведе́ние	proizvedenie	Noun
Product	това́р	tovar	Noun
Production	проду́кция	produktsija	Noun
Production	произво́дственный	proizvodstvennyi	Noun
Production	произво́дство	proizvodstvo	Noun
Productive	продуктивный	produktivnyi	Noun
Profession	профессия	professiâ	Verb
Profession	специа́льность	spetsial'nost'	Verb
Professional	профессиона́л	professional	Noun
Professional	профессиона́льный	professional'nyi	Noun
Professionally	профессионально	professional'no	Adverb
Professor	преподаватель	prepodavatelʹ	Noun
Professor	профе́ссор	professor	Noun
Professor	профессором	professorom	Noun
Professor	профессора	professora	Noun
Professor	профессор	professor	Noun
Profile	профиль	profil'	Noun
Profile	профилем	profilem	Noun
Profile	профиля	profilja	Noun
Profile	профиле	profile	Noun
Profit	при́быль	pribyl'	Noun
Profit	прибыль	pribyl'	Noun
Profit	прибыли	pribyli	Noun
Program	програ́мма	programma	Noun
Program	программа	programma	Noun
Program	программой	programmoi	Noun
Program	программу	programmu	Noun
Program	программы	programmy	Noun
Programmer	программист	programmist	Noun
Programmer	программистом	programmistom	Noun
Programmer	программиста	programmista	Noun
Progress	прогре́сс	progress	Noun
Progressive	передово́й	peredovoi	Noun
Project	прое́кт	proekt	Noun
Project	проект	proekt	Noun
Projectile Shell	снаря́д	snarjad	Noun
Prom	выпускные	vypusknye	Noun
Prom	выпускной	vypusknoi	Noun
Prom	выпускному	vypusknomu	Noun
Prom	бала	bala	Noun
Prom	выпускным	vypusknym	Noun
Prom Queen	королева бала	koroleva bala	Noun
Prom Queen	королева выпускного вечера	koroleva vypusknogo vechera	Noun
Prom Queen	королева выпускного	koroleva vypusknogo	Noun
Promise	обеща́ние	obeschanie	Noun
Promise	обещаю	obeschaju	Noun
Promise	сло́во	slovo	Adverb
Promise Not To	обещать не	obeschat' ne	Noun
Promise Not To	пообещать не	poobeschat' ne	Noun
Promise Not To	дать слово не	dat' slovo ne	Noun
Promise Not To	клясться не	kljast'sja ne	Noun
Promise Not To	ручаться не	ruchat'sja ne	Noun
Promise To	обещать	obeschat'	Noun
Promise To	пообещать	poobeschat'	Noun
Promise To	дать обещание	dat' obeschanie	Noun
Promise To	гарантировать	garantirovat'	Noun
Promise To	клясться	kljast'sja	Noun
Promote	продвинутые	prodvinutye	Noun
Promote	повысил	povysil	Noun
Promote	повышать	povyshat'	Noun
Promote	повышали	povyshali	Noun
Promote	анонсировали	anonsirovali	Noun
Promotion	повыше́ние	povyshenie	Noun
Prone Or Tend To	скло́нный	sklonnyi	Noun
Pronounce	произносить	proiznosit'	Noun
Pronunciation	произношение	proiznoshenie	Noun
Proof	доказа́тельство	dokazatelʹstvo	Noun
Proof	доказательство	dokazatelʹstvo	Noun
Proof Of Purchase	подтверждение покупки	podtverzhdenie pokupki	Noun
Propaganda	пропага́нда	propaganda	Noun
Proper	соотве́тствующий	sootvetstvujuschii	Noun
Properly	пра́вильно	pravilʹno	Adverb
Property	иму́щество	imuschestvo	Noun
Property	сво́йство	svojstvo	Noun
Property	свойство	svojstvo	Noun
Property	свойство́	svojstvo	Noun
Property Or Ownership	со́бственность	sobstvennost'	Verb
Prophetic	ве́щий	veschii	Noun
Proposal Suggestion Or Offer	предложе́ние	predloženie	Noun
Propose	предлага́ть	predlagat'	Verb
Pros And Cons	плюсы и минусы	pljusy i minusy	Noun
Pros And Cons	за и против	za i protiv	Noun
Pros And Cons	достоинства и недостатки	dostoinstva i nedostatki	Noun
Prose	про́за	proza	Noun
Prospect	перспекти́ва	perspektiva	Noun
Protect	защища́ть	zaŝiŝatʹ	Verb
Protect	защищать	zaŝiŝatʹ	Verb
Protecting	защищать	zaŝiŝatʹ	Verb
Protection	действие по значению гл охранять	deistvie po znacheniju gl ohranjat'	Verb
Protection	защи́та	zaschita	Verb
Protector	защи́тник	zaschitnik	Noun
Protein	белка	belka	Noun
Protein	бело́к	belok	Noun
Protest	проте́ст	protest	Noun
Protest	протест	protest	Noun
Protest	протестный	protestnyi	Noun
Protocol	протоко́л	protokol	Noun
Proud	го́рдый	gordyi	Noun
Proud	гордый	gordyi	Noun
Proudly	го́рдо	gordo	Adverb
Provided	предоставил	predostavil	Verb
Provided	предоставленный	predostavlennyi	Verb
Provided	при условии	pri uslovii	Verb
Province	прови́нция	provintsija	Noun
Provincial	областно́й	oblastnoi	Noun
Provision Or Support	обеспе́чение	obespechenie	Noun
Proximity	бли́зость	blizost'	Verb
Pseudonym	кли́чка	klichka	Noun
Psychologic	психологи́ческий	psihologicheskii	Noun
Psychologist	психолог	psiholog	Noun
Psychology	психоло́гия	psihologija	Noun
Public	госуда́рственный	gosudarstvennyj	Noun
Public	о́бщий	obŝij	Noun
Public	обще́ственный	obŝestvennyj	Noun
Public	общественный	obŝestvennyj	Noun
Public	пу́блика	publika	Noun
Public Prosecutor	прокуро́р	prokuror	Noun
Public Transportation	общественный транспорт	obschestvennyi transport	Noun
Publication	изда́ние	izdanie	Noun
Publication	публика́ция	publikatsija	Noun
Publish Or Issue	изда́ть	izdat'	Verb
Publisher	изда́тельство	izdatel'stvo	Noun
Publishing House	изда́тельство	izdatel'stvo	Noun
Puddle	лу́жа	luzha	Noun
Puff Of Smoke	дымо́к	dymok	Noun
Puffin	ту́пик	tupik	Noun
Pull	потяну́ть	potjanut'	Verb
Pull	тянуть	tjanut'	Verb
Pull Back	отодви́нуть	otodvinut'	Verb
Pull Out	дёргать	dergat'	Verb
Pull Out	дёрнуть	dernut'	Verb
Pull-Up	подтягивание	podtjagivanie	Noun
Pull-Up	подтягиваться	podtjagivat'sja	Noun
Pull-Up	подтягивание на перекладине	podtjagivanie na perekladine	Noun
Pulled	вытащил	vytaschil	Verb
Pulled	спустил	spustil	Verb
Pullover	свитер	sviter	Noun
Pulp	мякоть	mjakot'	Noun
Pulp	пастой	pastoi	Noun
Pulpit	ка́федра	kafedra	Noun
Pumpkin	тыквенного	tykvennogo	Noun
Pumpkin	тыкву	tykvu	Noun
Pumpkin	тыквенные	tykvennye	Noun
Pumpkin	тыквенный	tykvennyi	Noun
Pumpkin Pie	тыквенный пирог	tykvennyi pirog	Noun
Punch	ударять	udarjat'	Noun
