English	German	Part of Speech
National Park	Nationalpark	Noun
Nationalistically	national	Adverb
Nationality	die Nationalität	Noun
Nationality	Nationalität	Noun
Nationality	Staatsangehörigkeit	Noun
Nationally	national	Adverb
Native	Einheimischer	Noun
Native Language	Muttersprache	Noun
Native Tongue	Muttersprache	Noun
Natural Gas	das Erdgas	Noun
Natural Gas	Erdgas	Noun
Natural Park	Naturpark	Noun
Natural Photography	Naturfotografie	Noun
Natural Preserve	Naturschutzgebiet	Noun
Natural Resource	der Rohstoff	Noun
Natural Resource	Rohstoff	Noun
Naturally	selbstverständlich	Adverb
Nature	Art	Noun
Nature	Charakteren	Noun
Nature	der Charakter	Noun
Nature	die Art	Noun
Nature	die Natur	Noun
Nature	Natur	Noun
Nature Conservationist	Naturschützer	Noun
Nature Park	Naturpark	Noun
Nature Photography	Naturfotografie	Noun
Nature Protector	Naturschützer	Noun
Nature Reserve	Naturpark	Noun
Nature Reserve	Naturschutzgebiet	Noun
Nearby	Nahe	Noun
Nearby	Nebenan	Noun
Nearby	Nähe	Noun
Nearby Resident	Anwohner	Noun
Nearly	beinahe	Adverb
Nearly	eher	Adverb
Nearly	fast	Adverb
Nebulae	Nebel	Noun
Necessarily	notwendig	Adverb
Necessarily	notwendigerweise	Adverb
Necessarily	unbedingt	Adverb
Necessarily	zwangsläufig	Adverb
Necessary	geboten	Verb
Necessary	notwendig	Verb
Necessary	nötig	Verb
Necessary	nötigen	Verb
Necessary Level	Sprachniveau	Noun
Neck	der Nacken	Noun
Neck	Hals	Noun
Neck	Nacken	Noun
Neck Of A Bottle	der Flaschenhals	Noun
Necklace	Halskette	Noun
Necklace	Kette	Noun
Need	Armut	Noun
Need	Bedürfnis	Noun
Need	Brauche	Noun
Need	das Bedürfnis	Noun
Need	die Armut	Noun
Needed	brauchte	Verb
Needed	brauchten	Verb
Needed	brauchtest	Verb
Needed	brauchtet	Verb
Needed	gebraucht	Verb
Needed	gemusst	Verb
Needed	musste	Verb
Needed	mussten	Verb
Needed	musstest	Verb
Needed	musstet	Verb
Needle	Pin	Noun
Negative	Negativ-	Noun
Negatively	negativ	Adverb
Neglect	vernachlässigen	Verb
Negotiate	Einzelhandel	Noun
Negotiated	aushandeln	Verb
Negotiated	vereinbaren	Verb
Negotiated	verhandeln	Verb
Negotiating	verhandeln	Verb
Nehmen To Captivate	gefangen	Verb
Neighbor	Anwohner	Noun
Neighbor	Nachbar	Noun
Neighbor	Nachbarin	Noun
Neighbor	Nachbarn	Noun
Neighbor's	Nachbarn	Noun
Neighborhood	das Viertel	Noun
Neighborhood	die Nachbarschaft	Noun
Neighborhood	die Umgebung	Noun
Neighborhood	Nachbarschaft	Noun
Neighborhood	Stadtteil	Noun
Neighborhood	Stadtviertel	Noun
Neighborhood	Umgebung	Noun
Neighborhood	Viertel	Noun
Neighborhood	Wohnviertel	Noun
Neighborhoods	Stadtviertel	Noun
Neighboring	benachbart	Verb
Neighbors	Nachbarn	Noun
Neighbors'	Nachbarn	Noun
Neighbour	Nachbar	Noun
Neighbour	Nachbarin	Noun
Nephew	Neffe	Noun
Nephew	Neffen	Noun
Nephew's	Neffe	Noun
Nephews	Neffen	Noun
Nervously	nervös	Adverb
Nest	Nest	Noun
Net	das Netz	Noun
Net	Netz	Noun
Net Earnings	Nettogehalt	Noun
Net Income	Nettogehalt	Noun
Net Salary	Nettogehalt	Noun
Network Of Acquaintances	Bekanntenkreis	Noun
Networked	vernetzt	Verb
Neuschwanstein	Neuschwanstein	Noun
Neuschwanstein Castle	Neuschwanstein	Noun
Neutrally	neutral	Adverb
Never	Niemals	Noun
Nevertheless	Doch	Noun
Nevertheless	Trotzdem	Noun
New Acquaintance	Bekanntschaft	Noun
New Acquaintance	die Bekanntschaft	Noun
New Beginning	Neuanfang	Noun
New Building	Neubau	Noun
New Chapter	Neuanfang	Noun
New Construction	Neubau	Noun
New Development	Neubau	Noun
New Phase	Neuanfang	Noun
New Start	Neuanfang	Noun
New Start	Neustart	Noun
New Year's Day	Neujahr	Noun
New Year's Eve	das Silvester	Noun
New Year's Eve	Silvester	Noun
New Year's Eve Party	Silvesterparty	Noun
New Zealand	Neuseeland	Noun
Newcomer To The Workforce	Berufseinsteiger	Noun
Newcomer To The Workforce	der Berufseinsteiger	Noun
Newly Built Building	Neubau	Noun
News	Nachrichten	Noun
News	Neuigkeiten	Noun
News Alert	Eilmeldung	Noun
News Article	der Zeitungsartikel	Noun
News Article	Zeitungsartikel	Noun
News Conference	die Pressekonferenz	Noun
News Conference	Pressekonferenz	Noun
News Coverage	Reportage	Noun
News Headline	Schlagzeile	Noun
Newsmen	Journalisten	Noun
Newspaper	Zeitung	Noun
Newspaper	Zeitungen	Noun
Newspaper Article	der Zeitungsartikel	Noun
Newspaper Article	Zeitungsartikel	Noun
Newspapermen	Journalisten	Noun
Newsstand	Kiosk	Noun
Next	Nächste	Noun
Next	Nächsten	Noun
Next	Nächster	Noun
Next	Nächstes	Noun
Next Course In A Sequence	der Fortsetzungskurs	Noun
Next Of Kin	Angehörige	Noun
Next To	bei	Verb
Next To	neben	Verb
Next To	nächsten	Verb
Nice	Nettes	Noun
Nice	Netteste	Noun
Nice	Schickes	Noun
Nice To Meet You	Angenehm	Noun
Nice To Meet You	Schön	Noun
Nice To Meet You	Schön dich kennenzulernen	Noun
Nickname	Cookie	Noun
Nickname	Spitzname	Noun
Nickname	Spitznamen	Noun
Niece	Nichte	Noun
Niece's	Nichte	Noun
Night	Abend	Noun
Night	Nacht	Noun
Night Lamp	Nachtlicht	Noun
Night Light	Nachtlicht	Noun
Night Table	Nachttisch	Noun
Night's	Schlaf	Noun
Nightclub	Nachtclub	Noun
Nightlife	Nachtleben	Noun
Nightlight	Nachtlicht	Noun
Nightmare	Albtraum	Noun
Nightmare	der Albtraum	Noun
Nights	Nächte	Noun
Nightstand	Nachttisch	Noun
Nile	Nil	Noun
Nine-One-One	der Notruf	Noun
Nine-One-One	Notruf	Noun
Nine-One-One	Notrufnummer	Noun
Ninth	Neunte	Noun
Ninth	Neuntel	Noun
No	kein	Adverb
No	keine	Adverb
No	keinen	Adverb
No	keiner	Adverb
No	Keines	Adverb
No	keins	Adverb
No	nein	Adverb
No	NICHT	Adverb
No	not	Adverb
No Offense	Nichts für ungut	Noun
No One	kein	Adverb
No One	keine	Adverb
No One	keinen	Adverb
No One	keiner	Adverb
No One	niemand	Adverb
No One	niemanden	Adverb
Nodded	nicken	Verb
Nodded	zustimmen	Verb
Noise	das Geräusch	Noun
Noise	der Lärm	Noun
Noise	Geräusch	Noun
Noise	Lärm	Noun
Noisily	der Laut	Noun
Noisy	der Laut	Noun
Nominated	aufstellen	Verb
Nominated	vorgeschlagen	Verb
Non-Fiction	Sachliteratur	Noun
Non-Fiction Books	Sachliteratur	Noun
Non-Native Language	die Fremdsprache	Noun
None	Keines	Noun
Nonfiction	Sachliteratur	Noun
Nonfiction Literature	Sachliteratur	Noun
Nonrecurring	einmalig	Verb
Nonsense	der Unsinn	Noun
Nonsense	Quatsch	Noun
Nonsense	Unsinn	Noun
Nonverbal Communication	Körpersprache	Noun
Noodle	Nudel	Noun
Noodle	Nudeln	Noun
Noon	Mittag	Noun
Norm	die Norm	Noun
Normally	gewöhnlich	Adverb
Normally	normal	Adverb
Normally	normalerweise	Adverb
Normally	Normalerweise	Adverb
North	der Norden	Noun
North	Norden	Noun
North America	Nordamerika	Noun
Northeast	Nordosten	Noun
Northwest	Nordwesten	Noun
Norway	Norwegen	Noun
Nose	die Nase	Noun
Nose	Nase	Noun
Nose	Schweinenase	Noun
Not Only	nicht bloß	Adverb
Not Pass	durchgefallen	Verb
Note	Anmerkung	Noun
Note	Anschreiben	Noun
Note	Beachtung	Noun
Note	Bedeutung	Noun
Note	der Hinweis	Noun
Note	der Merkzettel	Noun
Note	der Ton	Noun
Note	die Beachtung	Noun
Note	die Bedeutung	Noun
Note	Hinweis	Noun
Note	Merkzettel	Noun
Note	Mitteilung	Noun
Note	Notiz	Noun
Note	Notizen	Noun
Note	Notizzettel	Noun
Note	Ton	Noun
Note	Zettel	Noun
Note System	das Notensystem	Noun
Note System	Notensystem	Noun
Notebook	das Heft	Noun
Notebook	Heft	Noun
Notebook	Notizbuch	Noun
Notepad	der Notizblock	Noun
Notepad	Notizblock	Noun
Notepad	Notizzettel	Noun
Notepad	Schreibblock	Noun
Notes	Anmerkungen	Noun
Notes	der Merkzettel	Noun
Notes	Merkzettel	Noun
Notes	Mitteilungen	Noun
Notes	Noten	Noun
Notes	Notizen	Noun
Notes	Töne	Noun
Nothing	nichts	Verb
Nothing	nil	Verb
Notice	Abmahnung	Noun
Notice	Ankündigung	Noun
Notice	Ankündigungen	Noun
Notice	Anschlag	Noun
Notice	Anzeige	Noun
Notice	Aufgepasst	Noun
Notice	Aushang	Noun
Notice	Beachtung	Noun
Notice	Bemerkst	Noun
Notice	Beobachte	Noun
Notice	Beobachten	Noun
Notice	Beobachtest	Noun
Notice	Beobachteten	Noun
Notice	Bescheid	Noun
Notice	Besprechung	Noun
Notice	die Anzeige	Noun
Notice	die Beachtung	Noun
Notice	die Besprechung	Noun
Notice	erwähnen	Verb
Notice	Kündigung	Noun
Notice	Merke	Noun
Notice	Merkt	Noun
Notice	Rezension	Noun
Notice	Sah	Noun
Notice	Spürst	Noun
Noticed	bemerkt	Verb
Noticing	bemerkt	Verb
Notification	Bescheid	Noun
Notified	mitteilen	Verb
Notify	ankündigen	Verb
Novel	der Roman	Noun
Novel	New	Noun
Novel	Roman	Noun
Novel's	die Erzählung	Noun
Novel's	Erzählung	Noun
November	November	Noun
Novice	Berufseinsteiger	Noun
Novice	der Berufseinsteiger	Noun
Nuclear Energy	Kernkraft	Noun
Nuclear Power	Kernkraft	Noun
Number	Anzahl	Noun
Number	die Anzahl	Noun
Number	die Nummer	Noun
Number	Nummer	Noun
Number	Zahl	Noun
Number Of Pieces	Stückzahl	Noun
Number Plate	Kennzeichen	Noun
Nur Not Only	nicht	Adverb
Nurse	Betreuung	Noun
Nurse	die Betreuung	Noun
Nurse	Krankenpfleger	Noun
Nurse	Krankenpflegerin	Noun
Nurse	Krankenschwester	Noun
Nurse	Pfleger	Noun
Nurse's	Krankenschwester	Noun
Nursery	Kita	Noun
Nurses	Krankenpfleger	Noun
Nursing Home	Altenheim	Noun
Nut Allergy	Nussallergie	Noun
Nutrition Plan	Ernährungsplan	Noun
O'clock	Uhr	Noun
Oat	Hafer	Noun
Oats	Hafer	Noun
Obeyed	gehorchen	Verb
Object	das Ding	Noun
Object	das Objekt	Noun
Object	das Ziel	Noun
Object	der Gegenstand	Noun
Object	Ding	Noun
Object	Dinger	Noun
Object	Dings	Noun
Object	Gegenstand	Noun
Object	Gegenstands	Noun
Object	Gegenständen	Noun
Object	Objekt	Noun
Object	reklamieren	Verb
Object	Widersprecht	Noun
Object	Widersprichst	Noun
Object	Ziel	Noun
Objection	Einwand	Noun
Objection	Gegenargument	Noun
Objection	Proteste	Noun
Objection	Widerspruch	Noun
Objections	Proteste	Noun
Objectively	neutral	Adverb
Objectively	objektiv	Adverb
Objectively	sachlich	Adverb
Objectively	unparteiisch	Adverb
Objectives	Ziele	Noun
Obligation	Dankesschuld	Noun
Obligation	die Verpflichtung	Noun
Obligation	Verpflichtung	Noun
Obligation	Zwang	Noun
Obligations	die Verpflichtung	Noun
Obligations	Verpflichtung	Noun
Obligations	Zwang	Noun
Observation	Ausschau	Noun
Observation	Bemerkung	Noun
Observation	Bemerkungen	Noun
Observation	Beobachtung	Noun
Observation	die Beobachtung	Noun
Observation Point	Aussichtspunkt	Noun
Observatory	Observatorium	Noun
Observe	beachten	Verb
Observe	beobachten	Verb
Observe	betrachten	Verb
Observer	Beobachter	Noun
Observer	der Beobachter	Noun
Observers	Beobachter	Noun
Observers	der Beobachter	Noun
Observers'	Beobachter	Noun
Obsession	Besessenheit	Noun
Obsession	Fixierung	Noun
Obstacle	das Hindernis	Noun
Obstacle	Hindernis	Noun
Obviously	offensichtlich	Adverb
Occasion	Anlass	Noun
Occasion	Anlasses	Noun
Occasion	Anlässen	Noun
Occasion	das Ereignis	Noun
Occasion	Day	Noun
Occasion	der Anlass	Noun
Occasion	die Gelegenheit	Noun
Occasion	Ereignis	Noun
Occasion	Gelegenheit	Noun
Occasion	Gelegenheiten	Noun
Occasion	Grund	Noun
Occasion	Times	Noun
Occasionally	gelegentlich	Adverb
Occasionally	zwischendurch	Adverb
Occasions	die Gelegenheit	Noun
Occasions	Gelegenheit	Noun
Occasions	Grund	Noun
Occupancy	Besetzung	Noun
Occupant	Bewohner	Noun
Occupants	Bewohner	Noun
Occupation	Beruf	Noun
Occupation	Beschäftigung	Noun
Occupation	Besetzung	Noun
Occupation	die Beschäftigung	Noun
Occupational Accident	Arbeitsunfall	Noun
Occupied	beschäftigt	Verb
Occurring Naturally	heimisch	Adverb
Ocean	Meer	Noun
Ocean	Ozean	Noun
Ocean Level	Meeresspiegel	Noun
October	Oktober	Noun
Odour	der Geruch	Noun
Odour	Geruch	Noun
Oeuvre	Vorspeise	Noun
Of	Meines	Noun
Of A State	die Staatsgründung	Noun
Of Accident	die Unfallgefahr	Noun
Of Apology	das Entschuldigungsschreiben	Noun
Of Application	das Bewerbungsschreiben	Noun
Of Beans	Bohnen	Noun
Of Birth	das Geburtsland	Noun
Of Birth	der Geburtsort	Noun
Of Costs	die Kostenerstattung	Noun
Of Course	Sicher	Noun
Of Education	der Bildungsweg	Noun
Of Energy	die Energieverschwendung	Noun
Of Fire	der Brandfall	Noun
Of Friends	der Freundeskreis	Noun
Of Germany	die Deutschlandkarte	Noun
Of Good Conduct	das Führungszeugnis	Noun
Of Place	das Lokal	Noun
Of Residence	der Wohnort	Noun
Of Revocation	das Widerrufsrecht	Noun
Of School	die Schulform	Noun
Of Sport	die Sportart	Noun
Of Study	das Studium	Noun
Of The Berlin Wall	der Mauerfall	Noun
Of The Euro	die Euroeinführung	Noun
Of The Wall	der Mauerbau	Noun
Of Time	der Zeitmangel	Noun
Of Time	die Zeitverschwendung	Noun
Of War	das Kriegsende	Noun
Of Work	der Arbeitsbeginn	Noun
Offence	das Vergehen	Noun
Offences	das Vergehen	Noun
Offended	beleidigt	Verb
Offender	Krimineller	Noun
Offense	Angriff	Noun
Offense	das Delikt	Noun
Offense	Delikt	Noun
Offense	der Angriff	Noun
Offense	die Straftat	Noun
Offense	Kränkung	Noun
Offense	Straftat	Noun
Offense	Verstoß	Noun
Offer	anbieten	Verb
Offer	Angebot	Verb
Offer	angeboten	Verb
Offer	Antrag	Verb
Offer	bieten	Verb
Offer	böte	Verb
Offer	spenden	Verb
Offer Of Help	das Hilfsangebot	Noun
Offered	anbieten	Verb
Offered	Angebot	Verb
Offered	angeboten	Verb
Offered	Antrag	Verb
Offered	aussprechen	Verb
Offered	belegen	Verb
Offered	bieten	Verb
Offered	gemacht	Verb
Offered	machen	Verb
Offered	machte	Verb
Offered	sagen	Verb
Offered	spenden	Verb
Office	Amt	Noun
Office	Arztpraxis	Noun
Office	Büro	Noun
Office	Büros	Noun
Office	die Arztpraxis	Noun
Office	die Filiale	Noun
Office	die Praxis	Noun
Office	Filiale	Noun
Office	Praxis	Noun
Office	Sekretariat	Noun
Office Hours	Sprechstunde	Noun
Office's	Amt	Noun
Office's	Büro	Noun
Offices	Amt	Noun
Offices	Büros	Noun
Official	Beamter	Noun
Official	Beamtin	Noun
Officially	offiziell	Adverb
Offshoot	der Zweig	Noun
Offshoot	Zweig	Noun
Oil	das Erdöl	Noun
Oil	Erdöl	Noun
Oil	Öl	Noun
Oil Change	Ölwechsel	Noun
Ointment	Salbe	Noun
Ok	das Gut	Noun
Oktoberfest	Oktoberfest	Noun
Old Building	Altbau	Noun
Old Town	Altstadt	Noun
Old-Fashioned	altmodisch	Verb
Old-Fashioned	altmodische	Verb
Old-Fashioned	altmodischen	Verb
Old-Fashioned	altmodisches	Verb
Older	Ältere	Noun
Older Building	Altbau	Noun
Oldest	Ältere	Noun
Olive	Olivenbaum	Noun
Olive	Ölbaum	Noun
Olive	Ölzweig	Noun
Olive Oil	das Olivenöl	Noun
Olive Oil	Olivenöl	Noun
Olympics	Olympiade	Noun
Omelet	Omelett	Noun
Ominously	bedrohlich	Adverb
On	Weiter	Noun
On Delivery	die Nachnahme	Noun
On Saturdays	Samstags	Noun
On The Other Hand	andererseits	Verb
On The Other Hand	anderseits	Verb
On The Other Hand	hingegen	Verb
Onboarding	Einarbeitung	Verb
Onboarding	Integration	Verb
Once A	ein Mal	Noun
One	ein	Numeral
One	eine	Numeral
One	einem	Numeral
One	einen	Numeral
One	einer	Numeral
One	eines	Numeral
One	eins	Numeral
One	Eins	Numeral
One	einzig	Numeral
One	man	Numeral
One And A Half	eineinhalb	Numeral
One O'clock	ein Uhr	Noun
One-Of-A-Kind Item	das Einzelstück	Noun
One-On-One Training	das Einzeltraining	Noun
One-Way Road	Einbahnstraße	Noun
One-Way Street	Einbahnstraße	Noun
Ones	Eins	Noun
Onesie	Strampler	Noun
Ongoing	chronisch	Verb
Onion	Zwiebel	Noun
Onions	Zwiebeln	Noun
Online	das Web	Noun
Online	Web	Noun
Online Banking	das Onlinebanking	Noun
Online Banking	Onlinebanking	Noun
Online Booking	Onlinebuchung	Noun
Online Reservation	Onlinebuchung	Noun
Online Shop	Onlineshop	Noun
Online Store	Onlineshop	Noun
Online Subscription	Abo	Noun
Only	ausschließlich	Adverb
Only	bloß	Adverb
Only	einzig	Adverb
Only	erst	Adverb
Only	nur	Adverb
Oops	Hoppla	Noun
Oops	Huch	Noun
Open	ansprechbar	Verb
Open	auf	Verb
Open	aufgehen	Verb
Open	aufgemacht	Verb
Open	aufgeschlossen	Verb
Open	aufmachen	Verb
Open	auftauen	Verb
Open	beginnen	Verb
Open	die Macht	Verb
Open	entstehen	Verb
Open	erweitern	Verb
Open	eröffnen	Verb
Open	geöffnet	Verb
Open	graben	Verb
Open	grob	Verb
Open	kommunikativ	Verb
Open	macht	Verb
Open	offen	Verb
Open	weltoffen	Verb
Open	öffentlich	Verb
Open	öffnen	Verb
Open-Minded	aufgeschlossen	Verb
Open-Minded	vorurteilsfrei	Verb
Open-Minded	weltoffen	Verb
Opened	aufgemacht	Verb
Opened	eröffnet	Verb
Opened	geöffnet	Verb
Opened	öffnete	Verb
Opened	öffneten	Verb
Opener	Flaschenöffner	Noun
Opening	die Einleitung	Noun
Opening	Einleitung	Noun
Opening Ceremony	Eröffnung	Noun
Opening Ceremony	Eröffnungsfeier	Noun
Opening Ceremony	Eröffnungszeremonie	Noun
Opening Night	Premiere	Noun
Openness	die Offenheit	Noun
Openness	Offenheit	Noun
Opens	die Macht	Noun
Opera	die Oper	Noun
Opera	Oper	Noun
Opera House	die Oper	Noun
Opera House	Oper	Noun
Operating Instruction	Arbeitsanweisung	Noun
Operation	Aktion	Noun
Operation	Bedienung	Noun
Operation	Betrieb	Noun
Opinion	Ansicht	Noun
Opinion	die Ansicht	Noun
Opinion	die Überzeugung	Noun
Opinion	Meinung	Noun
Opinion	Urteil	Noun
Opinion	Überzeugung	Noun
Opinion On	Ansicht über	Noun
Opinion On	Meinung über	Noun
Opinion Poll	die Umfrage	Noun
Opinion Poll	Umfrage	Noun
Opinions	Meinungen	Noun
Opponent	Gegner	Noun
Opponent	Gegnerin	Noun
Opponent	Herausforderer	Noun
Opponents	Gegner	Noun
Opportunities	Möglichkeiten	Noun
Opportunity	Chance	Noun
Opportunity	die Gelegenheit	Noun
Opportunity	die Möglichkeit	Noun
Opportunity	Gelegenheit	Noun
Opportunity	Möglichkeit	Noun
Opportunity For Advancement	die Aufstiegschance	Noun
Opposing Argument	Gegenargument	Noun
Opposite	das Gegenüber	Noun
Opposite	der Gegensatz	Noun
Opposite	Gegensatz	Noun
Opposite	Gegenteil	Noun
Opposition	Widerspruch	Noun
Optimism	Zuversicht	Noun
Option	Alternativen	Noun
Option	Auswahlmöglichkeiten	Noun
Option	die Möglichkeit	Noun
Option	die Option	Noun
Option	Erwägung	Noun
Option	Möglichkeit	Noun
Options	Möglichkeiten	Noun
Orange	Orange	Noun
Orange Juice	Orangensaft	Noun
Oranges	Orangen	Noun
Orbit	der Freundeskreis	Noun
Orbit	Freundeskreis	Noun
Orbit/am Orbiting	Freundeskreis	Noun
Orbital Station	Raumstation	Noun
Orchestra	Kapelle	Noun
Orchestra	Orchester	Noun
Ordeal	Albtraum	Noun
Ordeal	der Albtraum	Noun
Order	anordnen	Verb
Order	Anordnung	Verb
Order	Anweisung	Verb
Order	Auftrag	Verb
Order	bestell	Verb
Order	bestelle	Verb
Order	bestellen	Verb
Order	bestellst	Verb
Order	bestellt	Verb
Order	Bestellung	Verb
Order	bestimmen	Verb
Order	das Gebiet	Noun
Order	der Auftrag	Noun
Order	die Bestellung	Noun
Order	die Ordnung	Noun
Order	die Reihenfolge	Noun
Order	Gebiet	Verb
Order	ordnen	Verb
Order	Ordnung	Verb
Order	Reihenfolge	Verb
Order Of Moves	Zugreihenfolge	Noun
Order/am Ordering	Gebiet	Noun
Ordered	geschickt	Verb
Ordered	schickte	Verb
Ordering	anordnen	Verb
Ordering	bestimmen	Verb
Ordering	ordnen	Verb
Orderly	Sanitäter	Adverb
Orderly	systematisch	Adverb
Orders	anordnen	Verb
Orders	Anordnung	Verb
Orders	Anweisung	Verb
Orders	Auftrag	Verb
Orders	bestimmen	Verb
Orders	der Auftrag	Noun
Orders	der Stand	Noun
Orders	die Reihenfolge	Noun
Orders	Reihenfolge	Verb
Orders	Ritual	Verb
Orders	Stand	Verb
Organic Cucumbers	Biogurken	Noun
Organic Waste Bin	Biotonne	Noun
Organic Waste Container	Biotonne	Noun
Organically	biologisch	Adverb
Organization	die Organisation	Noun
Organization	Organisation	Noun
Organizational Climate	Betriebsklima	Noun
Organizations	Anordnung	Noun
Organize	Ausrichten	Noun
Organize	die Macht	Noun
Organize	einteilen	Verb
Organize	Macht	Noun
Organize	Ordne	Noun
Organize	Organisiere	Noun
Organize	Organisieren	Noun
Organize	Schmeißen	Noun
Organize	veranstalten	Verb
Organized	gemacht	Verb
Organized	geplant	Verb
Organized	ordnen	Verb
Organized	organisiert	Verb
Organized	planen	Verb
Organized	systematisch	Verb
Organized	übersichtlich	Verb
Organizer	der Organisator	Noun
Organizer	Organisator	Noun
Organizers	der Organisator	Noun
Organizers	Organisator	Noun
Organizing	organisieren	Verb
Orientation	die Orientierung	Noun
Orientation	Einarbeitung	Noun
Orientation	Orientierung	Noun
Origin	die Herkunft	Noun
Origin	Herkunft	Noun
Origin	Herkunftsland	Noun
Originally	ursprünglich	Adverb
Originated	entstehen	Verb
Orphan	die Waise	Noun
Orphan	Waise	Noun
Oslo	Oslo	Noun
Ostrich	der Strauß	Noun
Ostrich	Strauß	Noun
Otherwise	anderenfalls	Verb
Otherwise	anders	Verb
Otherwise	ansonsten	Verb
Otherwise	im Übrigen	Verb
Otherwise	sonst	Verb
Ouch	Aua	Noun
Outage	die Störung	Noun
Outage	Störung	Noun
Outbreak	Ausschlag	Noun
Outcome	Endstand	Noun
Outdoor Café	Straßencafé	Noun
Outdoor Dining Area	Außenterrasse	Noun
Outdoor Seating Area	Außenterrasse	Noun
Outdoor Terrace	Außenterrasse	Noun
Outfit	Ausrüstung	Noun
Outfit	Ausstattung	Noun
Outfit	Clique	Noun
Outfit	der Haufen	Noun
Outfit	die Kleider	Noun
Outfit	Ensemble	Noun
Outfit	Haufen	Noun
Outfit	Kleider	Noun
Outfit	Kostüm	Noun
Outfit	Laden	Noun
Outfit	Trupp	Noun
Outgoing	aufgeschlossen	Verb
Outgoing	kontaktfreudig	Verb
Outing	Ausflug	Noun
Outing	der Tagesausflug	Noun
Outing	die Geschäftsreise	Noun
Outing	Geschäftsreise	Noun
Outing	Tagesausflug	Noun
Outings	Ausflüge	Noun
Outlet	Ablauf	Noun
Outlet	die Filiale	Noun
Outlet	Filiale	Noun
Outlet	Steckdose	Noun
Outline	Beschreiben	Noun
Outline	Beschreibst	Noun
Outline	der Leitfaden	Noun
Outline	die Gliederung	Noun
Outline	Entwerfe	Noun
Outline	Entwürfe	Noun
Outline	Gliederung	Noun
Outline	Leitfaden	Noun
Outline	Schemen	Noun
Outlook	Blickwinkel	Noun
Outlook	die Prognose	Noun
Outlook	Prognose	Noun
Outlying	abgelegen	Verb
Outlying	entfernt	Verb
Output	Ausgabe	Noun
Output	die Leistung	Noun
Output	Leistung	Noun
Outrage	Skandal	Noun
Outside	der Rand	Noun
Outside	Rand	Noun
Outskirts	der Rand	Noun
Outskirts	Rand	Noun
Outskirts	Stadtrand	Noun
Outstanding	glänzend	Verb
Outstanding	hervorragend	Verb
Outstanding Debt	Restschuld	Noun
Oven	Backofen	Noun
Oven	Ofen	Noun
Over	Oberhalb	Noun
Overall	Insgesamt	Noun
Overburdened	überfordert	Verb
Overcoat	Wintermantel	Noun
Overcrowded	überfüllt	Verb
Overdid	übertrieben	Verb
Overdoing	übertrieben	Verb
Overemphasis	die Übertreibung	Noun
Overemphasis	Übertreibung	Noun
Overexerting	überfordern	Verb
Overjoyed	überglücklich	Verb
Overloaded	überfordert	Verb
Overloaded	überlastet	Verb
Overlook	nachsieht	Verb
Overlook	vernachlässigen	Verb
Overly	übertrieben	Verb
Overnight Stay	Übernachtung	Noun
Overpriced	überteuert	Verb
Overreaction	die Übertreibung	Noun
Overreaction	Übertreibung	Noun
Overstatement	die Übertreibung	Noun
Overstatement	Übertreibung	Noun
Overstrained	überfordert	Verb
Overstretched	überfordert	Verb
Overtime	Verlängerung	Noun
Overtime	Überstunden	Noun
Overtime Hour	Überstunde	Noun
Overtime Period	Verlängerung	Noun
Overview	der Überblick	Noun
Overview	Überblick	Noun
Overwhelmed	überfordert	Verb
Overwhelmed	überwältigt	Verb
Owe	die Schulden	Noun
Owe	Schulden	Noun
Owe	verdanken	Verb
Owl	Eule	Noun
Own	Besitz	Noun
Owner	Besitzer	Noun
Owner	Besitzerin	Noun
Owner	der Besitzer	Noun
Owner	Eigentümer	Noun
Owner	Eigentümerin	Noun
Owner	Inhaber	Noun
Owner	Inhaberin	Noun
Owner-Occupied Apartment	Eigentumswohnung	Noun
Owners	Besitzer	Noun
Owners	der Besitzer	Noun
Owners'	Besitzer	Noun
Ownership	Eigentum	Noun
Ozone Layer	Ozonschicht	Noun
Pace	der Schritt	Noun
Pace	Geschwindigkeit	Noun
Pace	Schritt	Noun
Pace	Tempo	Noun
Pacifier	der Schnuller	Noun
Pacifier	Schnuller	Noun
Pacifiers	der Schnuller	Noun
Pacifiers	Schnuller	Noun
Pack	das Feld	Noun
Pack	Feld	Noun
Pack	Packung	Noun
Package	Packung	Noun
Package	Paket	Noun
Package	Päckchen	Noun
Package Delivery Service	Paketdienst	Noun
Package Locker	Paketstation	Noun
Package Station	Paketstation	Noun
Packages	die Verpackung	Noun
Packages	Packungen	Noun
Packages	Pakete	Noun
Packages	Verpackung	Noun
Packaging	die Verpackung	Noun
Packaging	Verpackung	Noun
Packed	eingepackt	Verb
Packed	gepackt	Verb
Packed	gepackte	Verb
Packed	gepackten	Verb
Packet	Packung	Noun
Packet Of	Packung	Noun
Packing	die Verpackung	Noun
Packing	Verpackung	Noun
Packs	Packungen	Noun
Paddling	paddeln	Verb
Paediatrician	der Kinderarzt	Noun
Paediatrician	Kinderarzt	Noun
Page	die Seite	Noun
Page	Seite	Noun
Pain	Magenschmerzen	Noun
Pain	Schmerz	Noun
Pain	Schmerzen	Noun
Pains	Magenschmerzen	Noun
Paint	Farbe	Noun
Paint's	Farbe	Noun
Painted	gemalt	Verb
Painted	schminken	Verb
Painter	Maler	Noun
Painter's	Künstler	Noun
Painter's	Maler	Noun
Painters	Maler	Noun
Painting	Bild	Noun
Painting	das Gemälde	Noun
