English	Spanish	Part of Speech
Move	moviera	Noun
Move	movieran	Noun
Move	mudanza	Noun
Move	mudar	Noun
Move	mudaran	Noun
Move	mudarme	Noun
Move	mudarnos	Noun
Move	mudarse	Noun
Move	mudarás	Noun
Move	mude	Noun
Move	muden	Noun
Move	mudes	Noun
Move	mudábamos	Noun
Move	mudándote	Noun
Move	mudémonos	Noun
Move	mudó	Noun
Move	muevan	Noun
Move	muévanse	Noun
Move	muévelo	Noun
Move	muévete	Noun
Move	progresar	Noun
Move	propone	Noun
Move	proponen	Noun
Move	propones	Noun
Move	propongo	Noun
Move	reorganiza	Noun
Move	retirar	Noun
Move	subir	Noun
Move	transferirme	Noun
Move	transferí	Noun
Move	trasladada	Noun
Move	trasladadas	Noun
Move	trasladan	Noun
Move	traslado	Noun
Move	trasladó	Noun
Move	vendes	Noun
Move Away	mudarse	Noun
Move Forward	avanzar	Noun
Move In	entrar	Noun
Move In	instalarse	Noun
Move In	mudarse	Noun
Move In	ocupar	Noun
Move On	avanzan	Noun
Move On	avanzas	Noun
Move On	pasan	Noun
Move On	pasas	Noun
Move On	progresan	Noun
Move On	progresas	Noun
Move Out	cambiarse	Noun
Move Out	desalojan	Noun
Move Out	desalojo	Noun
Move Out	irse	Noun
Move Out	mudarse	Noun
Move Out	retiran	Noun
Move Out	retiro	Noun
Moved	jugué	Verb
Moved	moverse	Verb
Moved	mudarse	Verb
Movement	circulación	Noun
Movement	movimiento	Noun
Movement	tiempo	Noun
Moves	acercarse	Noun
Moves	emocionar	Noun
Moves	marcharse	Noun
Moves	moverse	Noun
Moves	mudanza	Noun
Moves	mudarse	Noun
Moves	mueva	Noun
Moves	subir	Noun
Movie	de películas	Noun
Movie	película	Noun
Movie Theater	cine	Noun
Movie Theater	el cine	Noun
Movie Theater	teatro	Noun
Movies	cine	Noun
Movies	película	Noun
Movies	películas	Noun
Moving	emocionante	Verb
Moving	mover	Verb
Moving	mudanza	Verb
Moving	mudarse	Verb
Moving Object	móvil	Noun
Moving Truck	camión de mudanza	Noun
Moving Truck	camión de mudanzas	Noun
Mow	cortar	Noun
Mow	cortaras	Noun
Mow	cortarías	Noun
Mow	cortas	Noun
Mow	corte	Noun
Mowing	cortar	Verb
Mows	cortar	Noun
Mr.	señor	Noun
Mr.	señores	Noun
Mr.'s	señor	Noun
Mrs.	señora	Noun
Mrs.	señoras	Noun
Ms.	señorita	Noun
Much	mucha	Noun
Much	muchas	Noun
Much	mucho	Noun
Much	muchos	Noun
Much	más	Noun
Much	tanta	Noun
Much Talked-About	ruidoso	Noun
Much—just	mucho	Noun
Mud	barro	Noun
Muddled Up	confundido	Noun
Muddy	barroso	Noun
Muddy	embarrado	Noun
Muddy	embarrados	Noun
Muddy	enlodadas	Noun
Muddy	enlodado	Noun
Muddy	fangoso	Noun
Muddy	lodoso	Noun
Mudguard	el guardabarros	Noun
Mudguards	los guardabarros	Noun
Mug	ingenua	Noun
Mug	ingenuo	Noun
Mug	taza	Noun
Mug	tazón	Noun
Mug	tragar	Noun
Multinational	multinacional	Noun
Multinational Company	multinacional	Noun
Multinational's	multinacional	Noun
Multiple Bet	una apuesta múltiple	Noun
Multiply	multiplicar	Adverb
Municipal	municipal	Noun
Mural	el mural	Noun
Muralist	el muralista	Noun
Murder	asesinato	Noun
Murderer	asesino	Noun
Muscle	fuerza	Noun
Muscle	músculo	Noun
Muscular	musculoso	Noun
Museum	el museo	Noun
Museum	galería	Noun
Museum	museo	Noun
Museums	museo	Noun
Mushroom	champiñones	Noun
Mushroom	champiñón	Noun
Mushroom	hongo	Noun
Mushroom	seta	Noun
Music	de música	Noun
Music	la música	Noun
Music	musical	Noun
Music	música	Noun
Music	partitura	Noun
Music Video	videoclip	Noun
Musical	musicales	Noun
Musical	un musical	Noun
Musical Instrument	instrumento	Noun
Musicals	musical	Noun
Musician	música	Noun
Musician	músico	Noun
Muslim	musulmán	Noun
Must	debe	Noun
Must	debemos	Noun
Must	deben	Noun
Must	deber	Noun
Must	deberá	Noun
Must	debes	Noun
Must	debieron	Noun
Must	debió	Noun
Must	debo	Noun
Must	debía	Noun
Must	tendré que	Noun
Must Be	estará	Noun
Must Be	será	Noun
Must Be	tendrán	Noun
Must Have	habremos	Noun
Must Have	habrá	Noun
Must Have	habrán	Noun
Must Have	habrás	Noun
Must Have	tendrán	Noun
Must Have Been	habrá sido	Noun
Must I	deber	Noun
Must've	deber	Noun
Must've	haber	Noun
Must-See	imperdible	Noun
Must-See	imperdibles	Noun
Mustache	bigote	Noun
Mustard	mostaza	Noun
Muster Roll	rol	Noun
Mutual	común	Noun
My	las	Noun
My	los	Noun
My	mis	Noun
My	míos	Noun
My Ankle	tobillo	Noun
My Treat	es mi invitación	Noun
Myself	a mí misma	Noun
Myself	a mí mismo	Noun
Mysterious	misteriosa	Noun
Mysterious	misterioso	Noun
Mysterious	misteriosos	Noun
Mysterious Character	fantasma	Noun
Mystery	fantasma	Noun
Mystery	misterio	Noun
Mystery Play	misterio	Noun
Myth	el mito	Noun
Myth	mito	Noun
Nahuel	tigre	Noun
Nail	clava	Noun
Nail	clavar	Noun
Nail	clavo	Noun
Nail	concretar	Noun
Nail	condenar	Noun
Nail	conseguir	Noun
Nail	consigue	Noun
Nail	derrota	Noun
Nail	derrotar	Noun
Nail	elimina	Noun
Nail	eliminar	Noun
Nail	puntilla	Noun
Nail	un clavo	Noun
Nail	uña	Noun
Nail	uñas	Noun
Nail Brush	cepillo de uñas	Noun
Nail Clippers	cortaúñas	Noun
Nail Polish	esmalte de uñas	Noun
Nail Polish	un esmalte de uñas	Noun
Nails	las uñas	Noun
Nails Done	manicura	Noun
Nails Done	uñas arregladas	Noun
Nails Done	uñas hechas	Noun
Nails Done	uñas pintadas	Noun
Naive	ingenuo	Noun
Naive	pavo	Noun
Name	el nombre	Noun
Name	gracias	Noun
Name	llamara	Noun
Name	llame	Noun
Name	nombre	Noun
Name's	llamarse	Noun
Name's	ser	Noun
Names	gracias	Noun
Names	nombre	Noun
Names	nombres	Noun
Nap	siesta	Noun
Nap	siestas	Noun
Napkin	servilleta	Noun
Narrow	angosta	Noun
Narrow	angostan	Noun
Narrow	angostar	Noun
Narrow	angostarse	Noun
Narrow	angostas	Noun
Narrow	angosto	Noun
Narrow	apretado	Noun
Narrow	cerrado	Noun
Narrow	escaso	Noun
Narrow	estrecha	Noun
Narrow	estrechan	Noun
Narrow	estrechar	Noun
Narrow	estrecharse	Noun
Narrow	estrechas	Noun
Narrow	estrecho	Noun
Narrow	estrechos	Noun
Narrow	exhaustivo	Noun
Narrow	intolerante	Noun
Narrow	limita	Noun
Narrow	limitado	Noun
Narrow	limitan	Noun
Narrow	limitar	Noun
Narrow	minucioso	Noun
Narrow	reducirse	Noun
Narrow	restringe	Noun
Narrow	restringen	Noun
Narrow	restringir	Noun
Narrow	restringirse	Noun
Narrow Pass	garganta	Noun
Narrowest	estrecho	Noun
Nasty	perro	Noun
Nation	la patria	Noun
National	nacional	Noun
National	nacionales	Noun
National Anthem	el himno nacional	Noun
National Id Card In Spain	el DNI	Noun
National Team	selección	Noun
Nationality	la nacionalidad	Noun
Nationality	nacionalidad	Noun
Native	nativo	Noun
Native	natural	Noun
Natural	bastardo	Noun
Natural	biológico	Noun
Natural	innato	Noun
Natural	lógico	Noun
Natural	nato	Noun
Natural	naturales	Noun
Natural	normal	Noun
Nature	carácter	Noun
Nature	natural	Noun
Nature	naturaleza	Noun
Naughty	travieso	Noun
Navel	el ombligo	Noun
Near	casi	Adjective
Near	cerca	Adjective
Near	cercano	Adjective
Near	izquierdo	Adjective
Near	parecido	Adjective
Near	por	Adjective
Near	próximo	Adjective
Nearby	cerca	Adjective
Nearby	cerca de aquí	Adjective
Nearby	cercana	Adjective
Nearby	cercanas	Adjective
Nearby	cercano	Adjective
Nearby	cercanos	Adjective
Nearby	próxima	Adjective
Nearby	próximas	Adjective
Nearby	próximo	Adjective
Nearby	próximos	Adjective
Nearest	cerca	Noun
Nearest	cercano	Noun
Nearest	izquierdo	Noun
Nearest	parecido	Noun
Nearest	próximo	Noun
Nearly	casi	Adjective
Neat	curioso	Noun
Neat	ordenada	Noun
Neat	ordenado	Noun
Neat	sola	Noun
Neat	solas	Noun
Neatly	ordenado	Adverb
Neatness	curiosidad	Noun
Necessarily	necesariamente	Adjective
Necessary	inevitable	Noun
Necessary	lógico	Noun
Necessary	necesaria	Noun
Necessary	necesarias	Noun
Necessary	necesario	Noun
Necessary	necesarios	Noun
Neck	cuello	Noun
Neck	el cuello	Noun
Neck	garganta	Noun
Neck	nuca	Noun
Neckerchief	pañuelo	Noun
Necklace	collar	Noun
Necklace	el collar	Noun
Need	necesidad	Noun
Need	necesita	Noun
Need	necesitamos	Noun
Need	necesitan	Noun
Need	necesitar	Noun
Need	necesitaría	Noun
Need	necesitas	Noun
Need	necesito	Noun
Need To	deber	Noun
Need To	necesitar	Noun
Needed	necesario	Verb
Needed	necesitaba	Verb
Needed	necesitaban	Verb
Needed	necesitabas	Verb
Needed	necesitar	Verb
Needed	necesitaron	Verb
Needed	necesitaré	Verb
Needed	necesitaría	Verb
Needed	necesitaste	Verb
Needed	necesitábamos	Verb
Needed	necesitó	Verb
Needs	debe	Noun
Needs	necesidades	Noun
Needs	necesita	Noun
Needs	necesitan	Noun
Needs	necesitar	Noun
Needs	necesitara	Noun
Needs	necesite	Noun
Needs	precisa	Noun
Needs Them	las necesita	Noun
Needs Them	los necesita	Noun
Needs Them For Dinner	las necesita	Noun
Negative	negativo	Noun
Negotiate	negociar	Noun
Negotiate	negocies	Noun
Neighbor	vecina	Noun
Neighbor	vecino	Noun
Neighbor's	vecino	Noun
Neighborhood	barrio	Noun
Neighborhood	vecindario	Noun
Neighborhood's	comunidad	Noun
Neighboring	vecino	Verb
Neighbor’s	vecino	Noun
Neither	ninguna	Noun
Neither	ninguno	Noun
Neither	tampoco	Noun
Nephew	el sobrino	Noun
Nephew	sobrino	Noun
Nephew's	sobrino	Noun
Nervous	nerviosa	Noun
Nervous	nerviosas	Noun
Nervous	nervioso	Noun
Nervous	nerviosos	Noun
Net	líquido	Noun
Net	red	Noun
Net Tax Liability After Deductions	la cuota líquida	Noun
Network	red	Noun
Network Configuration	la configuración de la red	Noun
Neumático	neumático	Noun
Never	jamás	Noun
Never	nunca	Noun
Never Been	nunca había estado	Noun
Never Ever	jamás	Noun
Never Ever	nunca jamás	Noun
Never Have I	jamás había	Noun
Never Have I	jamás he	Noun
Never Have I	nunca había	Noun
Nevertheless	aun así	Adjective
New	nueva	Noun
New	nuevas	Noun
New	nuevo	Noun
New	nuevos	Noun
New Development	novedad	Noun
New Year	el Año Nuevo	Noun
New Year's	año nuevo	Noun
New Year's Eve	la Nochevieja	Noun
New Year's Eve	nochevieja	Noun
Newer	fresco	Noun
Newer	nuevas	Noun
Newer	nuevo	Noun
Newer	nuevos	Noun
Newest	fresco	Noun
Newest	nuevas	Noun
Newest	nuevo	Noun
Newest	nuevos	Noun
Newly	nuevo	Adverb
Newlywed	recién casado	Verb
News	las noticias	Noun
News	noticia	Noun
News	noticias	Noun
News	noticiero	Noun
News	novedad	Noun
News Station	noticiero	Noun
Newscast	noticiero	Noun
Newspaper	diario	Noun
Newspaper	el periódico	Noun
Newspaper	periódico	Noun
Newsstand	el kiosco	Noun
Newsstand	quiosco	Noun
Next	a continuación	Noun
Next	después	Noun
Next	el próximo	Noun
Next	junto	Noun
Next	la próxima	Noun
Next	luego	Noun
Next	próxima	Noun
Next	próximas	Noun
Next	próximo	Noun
Next	próximos	Noun
Next	siguiente	Noun
Next Day	día siguiente	Noun
Next Door	vecino	Noun
Next Step	próximo paso	Noun
Next Time	la próxima vez	Noun
Next Time	la siguiente vez	Noun
Next Time	la vez siguiente	Noun
Next Up	enseguida	Noun
Next-Door	contiguo	Noun
Next-Door	vecino	Noun
Nicaraguan	nicaragüense	Noun
Nice	agradable	Noun
Nice	agradables	Noun
Nice	amable	Noun
Nice	amables	Noun
Nice	bonita	Noun
Nice	bonitas	Noun
Nice	bonito	Noun
Nice	bonitos	Noun
Nice	buen	Noun
Nice	buena	Noun
Nice	buenas	Noun
Nice	bueno	Noun
Nice	buenos	Noun
Nice	es muy simpático	Noun
Nice	linda	Noun
Nice	lindas	Noun
Nice	lindo	Noun
Nice	lindos	Noun
Nice	simpática	Noun
Nice	simpáticas	Noun
Nice	simpático	Noun
Nice	simpáticos	Noun
Nice	un gusto	Noun
Nice And	bien	Noun
Nice Gesture	detalle	Noun
Nice To Meet You	Encantada	Adjective
Nice To Meet You	encantada	Adjective
Nice To Meet You	Encantado	Adjective
Nice To Meet You	encantado	Adjective
Nicer	más agradable	Noun
Nicer	más bonita	Noun
Nicer	más bonito	Noun
Nicer	más linda	Noun
Nicer	más lindas	Noun
Nicer	más lindo	Noun
Nicer	más simpática	Noun
Nicer	más simpático	Noun
Nicest	más agradable	Noun
Nicest	más linda	Noun
Nicest	más lindo	Noun
Nicest	más simpático	Noun
Nick	liga	Noun
Nick	sombra	Noun
Nickname	apodo	Noun
Nicks	liga	Noun
Niece	la sobrina	Noun
Niece	sobrina	Noun
Night	noche	Noun
Night From Holy Thursday To Holy Friday	la Madrugá	Noun
Nightclub	discoteca	Noun
Nightgown	camisón	Noun
Nightmare	pesadilla	Noun
Nightmare	pesadillesco	Noun
Nil	cero	Noun
Nimble	ágil	Noun
Nine	nueve	Noun
Nine Hundred	novecientos	Noun
Nineteen	diecinueve	Noun
Nineteenth	decimonoveno	Adjective
Nineteenth	diecinueve	Adjective
Nineteenth	diecinueveavo	Adjective
Nineteenth	décima novena	Adjective
Nineteenth	décimo noveno	Adjective
Nineteenth	XIX	Adjective
Ninetieth	nonagésima	Adjective
Ninetieth	nonagésimo	Adjective
Ninety	noventa	Noun
Ninth	noveno	Noun
Ninth	nueve	Noun
Nirvana	el nirvana	Noun
Nit-Picking	criticón	Verb
Nitpicker	criticón	Noun
No	ninguna	Noun
No	ninguno	Noun
No	ningún	Noun
No	prohibido	Noun
No Less	ni más ni menos	Noun
No Matter How Much	por más que	Noun
No Matter What	sí o sí	Noun
No More	ni más ni menos	Noun
No More No Less	ni más ni menos	Adverb
No One	nadie	Noun
No One	ninguna	Noun
No One	ninguno	Noun
No One Else	nadie más	Noun
No Reason	no hay por qué	Noun
No Sooner Had	apenas	Noun
No Way	de ningún modo	Adverb
No Wonder	con razón	Noun
No Wonder	no es de extrañar	Noun
No-One	nadie	Noun
Nobody	nadie	Noun
Nobody	ninguno	Noun
Noise	ruido	Noun
Noiseless	silencioso	Noun
Noiselessly	silenciosamente	Adverb
Noisier	más ruidoso	Noun
Noisy	ruido	Noun
Noisy	ruidoso	Noun
None	nadie	Noun
None	ninguna	Noun
None	ninguno	Noun
None	ningún	Noun
None Of Them	ninguno	Noun
Nonsense	tontería	Noun
Nonsense	tonterías	Noun
Noodle	fideo	Noun
Noon	mediodía	Noun
Nor	tampoco	Noun
Normal	usual	Noun
Normally	normal	Adverb
Normally	normalmente	Adverb
Normally	usualmente	Adverb
North	norte	Noun
North American	norteamericano	Noun
Northeast	nordeste	Noun
Northeast	noreste	Noun
Northern	norte	Noun
Northern Irish	norirlandesa	Adjective
Northern Irish	norirlandés	Adjective
Northwest	noroccidente	Noun
Northwest	noroeste	Noun
Nos	herself	Noun
Nos	himself	Noun
Nos	itself	Noun
Nos	themselves	Noun
Nose	la nariz	Noun
Nose	nariz	Noun
Nostalgic	nostálgico	Noun
Nosy	curioso	Noun
Not	tampoco	Noun
Not Allowed	prohibido	Noun
Not At All	no hay de qué	Noun
Not Bad	aceptable	Noun
Not Bad	correcto	Noun
Not Bad	no está mal	Noun
Not Bad	no está nada mal	Noun
Not In My Wildest Dreams	ni en sueños	Noun
Not In Your Wildest Dreams	Ni en sueños	Adjective
Not My Idea Of	no es lo que llamaría	Noun
Not Only	no nada más	Adverb
Not Only	no únicamente	Adverb
Not Only Is	no solamente está	Noun
Not Only Is	no solo está	Noun
Not Only Is	no únicamente es	Noun
Not Only Is	no únicamente está	Noun
Not Quite	aún no	Noun
Not Quite	casi	Noun
Not Quite	todavía no	Noun
Not So Bad	aceptable	Noun
Not So Bad	no está mal	Noun
Not Sure	Ni sí ni no	Noun
Not Trust	desconfiar	Noun
Not Very Good	regular	Noun
Notably	especialmente	Adverb
Note	anotaciones	Noun
Note	bill	Noun
Note	comenta	Noun
Note	figura	Noun
Note	nota	Noun
Note	recado	Noun
Notebook	cuaderno	Noun
Notebook	el cuaderno	Noun
Notebook	laptop	Noun
Notebook	laptops	Noun
Notes	apuntes	Noun
Noteworthy	notable	Noun
Nothing	nada	Verb
Nothing But	nada más que	Noun
Nothing But	no más que	Noun
Nothing But	solamente	Noun
Nothing But	solo	Noun
Nothing But	únicamente	Noun
Nothing In Common	nada en común	Noun
Nothing Wrong With	ningún problema con	Noun
Nothing's	estar	Noun
Nothing's	ser	Noun
Nothing's	tener	Noun
Notice	avise	Noun
Notice	aviso	Noun
Notice	fijarse	Noun
Notice	notar	Noun
Notice	notaste	Noun
Notice	note	Noun
Notice	notes	Noun
Notice	notó	Noun
Notices	nota	Noun
Noticing	notar	Verb
Notre	nuestro	Noun
Nought	cero	Noun
Noughts And Crosses	gatos	Noun
Novel	la novela	Noun
Novel	novela	Noun
Novel	novelas	Noun
Novelty	novedad	Noun
November	noviembre	Noun
Now	actualmente	Noun
Now	ahora	Noun
Now	ahora sí	Noun
Now It Really	ahora sí que	Adverb
Now She Really	ahora sí que	Adverb
Now The Teacher Really	ahora sí que	Adverb
Now Then	buen	Noun
Now We Really	ahora sí que	Adverb
Nowadays	actualidad	Noun
Nowadays	actualmente	Noun
Nowadays	hoy	Noun
Nowadays	hoy día	Noun
Nowadays	hoy en día	Noun
Nowhere	ningún lugar	Noun
Nuance	el matiz	Noun
Number	cantidad	Noun
Number	celular	Noun
Number	el número	Noun
Number	la placa de matrícula	Noun
Number	número	Noun
Number	número de teléfono	Noun
Number Eight	ocho	Noun
Number Eighteen	dieciocho	Noun
Number Eighty	ochenta	Noun
Number Eleven	once	Noun
Number Fifty	cincuenta	Noun
Number Forty	cuarenta	Noun
Number Four	cuatro	Noun
Number Nineteen	diecinueve	Noun
Number Seven	siete	Noun
Number Seventeen	diecisiete	Noun
Number Twelve	doce	Noun
Numbers	contar	Noun
Numbers	los números	Noun
Numbers	lotería	Noun
Nunca	normally	Noun
Nunca	usually	Noun
Nurse	enfermera	Noun
Nurse	enfermero	Noun
Nurse	un enfermero	Noun
Nurse	una enfermera	Noun
Nurture	alimento	Noun
Nut	nuez	Noun
Nut	una tuerca	Noun
Nut Or Dried Fruit	Un fruto seco	Noun
Nuts	coco	Noun
Nylons	medias	Noun
O Sea	basically	Noun
O Sea	like	Noun
Oatmeal	avena	Noun
Obedient	obediente	Noun
Obey	obedecer	Noun
Obeys	obedecer	Noun
Object	objeto	Noun
Object	opone	Noun
Object	opongo	Noun
Object	protesto	Noun
Objectify	objetivo	Noun
Objection	excepción	Noun
Objective	objetivo	Noun
Objectives	objetivo	Noun
Obligation	compromiso	Noun
Obligation	obligación	Noun
Obligation	obligación de + inf	Noun
Obligatory	obligatorio	Noun
Obliged	reconocido	Verb
Oboe	un oboe	Noun
Observation	comentario	Noun
Observation	de observación	Noun
Observation	observación	Noun
Observation	tener algo/a alguien en observación	Noun
Observation Point	balcón	Noun
Observer	espectador	Noun
Obsessed	obsesionado	Verb
Obsession	obsesión	Noun
Obstacle	obstáculo	Noun
Obstructing	obstruyendo	Adjective
Obviate	obvio	Noun
Obvious	claro	Noun
Obvious	evidente	Noun
Obvious	lógico	Noun
Obvious	obvio	Noun
Obviously	evidentemente	Adverb
Obviously	obviamente	Adverb
Obviously	obvio	Adverb
Occasion	motivo	Noun
Occasion	ocasiona	Noun
Occasion	ocasionamos	Noun
Occasion	ocasionan	Noun
Occasion	ocasionar	Noun
Occasion	ocasionas	Noun
Occasion	ocasión	Noun
Occasion	oportunidad	Noun
Occasion	times	Noun
Occupation	ocupación	Noun
Occupy	tomar	Noun
Occupy	tomara	Noun
Occur	ocurrir	Noun
Occur	producir	Noun
Occurred	ocurrido	Verb
Ocean	el océano	Noun
Ocean	océano	Noun
October	octubre	Noun
Octopus	el pulpo	Noun
Octopus	pulpo	Noun
Odd	curioso	Noun
Odd	extraño	Noun
Odd	raro	Noun
Odor	olor	Noun
Of	con	Noun
Of	del	Noun
Of	des	Noun
Of	por	Noun
Of	sin	Noun
Of	sobre	Noun
Of Course	claro	Adjective
Of Course	claro está que	Adjective
Of Course	lógico	Adjective
Of Mine	mía	Noun
Of My Dad's	de mi papá	Noun
Of Our Mother's	de mamá	Noun
Of Our Mother's	de nuestra mamá	Noun
Of The	del	Noun
Of Your Mom's	de la mamá	Noun
Of Your Mom's	de tu mamá	Noun
Off	apagado	Noun
Off	extraño	Noun
Off	fuera	Noun
Off	libre	Noun
Off	malo	Noun
Offend	ofendas	Noun
Offend	ofende	Noun
Offend	ofenden	Noun
Offend	ofender	Noun
Offend	ofenderá	Noun
Offense	delito	Noun
Offense	falta	Noun
Offense	ofensiva	Noun
Offensive	ofensivo	Noun
Offensive	ofensivos	Noun
Offer	la oferta	Noun
Offer	oferta	Noun
Offer	ofrece	Noun
Offer	ofrecemos	Noun
Offer	ofrecen	Noun
Offer	ofrecer	Noun
Offer	ofreces	Noun
Offer	ofreció	Noun
Offer	ofrezcamos	Noun
Offer	ofrezcan	Noun
Offer	ofrezco	Noun
Offer	una oferta	Noun
Offer Up	ofrecer	Noun
Offering	una ofrenda	Noun
Office	agencia	Noun
Office	consulta	Noun
Office	consultorio	Noun
Office	despacho	Noun
Office	empleado	Noun
Office	oficina	Noun
Officer	número	Noun
Officer	oficial	Noun
Officer	policía	Noun
Offices	oficinas	Noun
Official	formal	Noun
Official	funcionario	Noun
Official	oficial	Noun
Official	oficiales	Noun
Official's	funcionario	Noun
Offset Of Negative Tax Bases From Previous Years	la compensación de bases imponibles negativas	Noun
Often	frecuentemente	Noun
Often	seguido	Noun
Often	seguidos	Noun
Often Subject To Higher Tax Rates	las ganancias no justificadas	Noun
Oh	caramba	Noun
Oh	caray	Noun
Oh	cero	Noun
Oh Well	así es	Noun
Oh Well	bueno	Noun
Oh Well	está bien	Noun
Oh Well	pues	Noun
Oil	aceite	Noun
Oil	el aceite	Noun
Oil Bottle	la aceitera	Noun
Oil Paint	el óleo	Noun
Ointment	pomada	Noun
Ok	bien	Noun
Ok	buen	Noun
Ok	lista	Noun
Ok	¡bueno!	Noun
Ok	¡okey!	Noun
Ok	¡vale!	Noun
Ok	¡vaya / va pues!	Noun
Okay	buen	Noun
Okay	está bien	Noun
Okay	lista	Noun
Old	antigua	Noun
Old	antiguas	Noun
Old	antiguo	Noun
Old	antiguos	Noun
Old	mayor	Noun
Old	vieja	Noun
Old	viejas	Noun
Old	viejo	Noun
Old	viejos	Noun
Old Fashioned	anticuado	Noun
Old Lady	abuela	Noun
Old Man	viejo	Noun
Old Woman	abuela	Noun
Old-Fashioned	anticuada	Verb
Old-Fashioned	anticuadas	Verb
Old-Fashioned	anticuado	Verb
Old-Fashioned	atrasados	Verb
Older	antiguo	Noun
Older	mayor	Noun
Older	mayores	Noun
Older	más grande	Noun
Older	más vieja	Noun
Older	más viejas	Noun
Older	más viejo	Noun
Older	más viejos	Noun
Older	saúco	Noun
Older	veterano	Noun
Older	vieja	Noun
Older	viejo	Noun
Oldest	mayor	Noun
Oldest	más antiguas	Noun
Oldest	más antiguo	Noun
Oldest	más antiguos	Noun
Oldest	más viejo	Noun
Olive	aceituna	Noun
Olive	aceitunado	Noun
Olive	oliva	Noun
Olive Oil	el aceite de oliva	Noun
Olympic	olímpico	Adjective
Olympic Flame	la llama olímpica	Noun
Olympic Games	los JJ. OO.	Noun
Olympic Games	los Juegos Olímpicos	Noun
Olympic Motto	el lema olímpico	Noun
Olympic Rings	los aros olímpicos	Noun
Olympics	Juegos Olímpicos	Noun
Olympics	olimpiadas	Noun
Olympics	olímpicos	Noun
Omelet	tortilla	Noun
On	encendida	Noun
On	encendidas	Noun
On	encendido	Noun
On	encendidos	Noun
On	encima	Noun
On	encuentre	Noun
On	los	Noun
On	para	Noun
On	por	Noun
On	puesta	Noun
On	puesto	Noun
On	sobre	Noun
On Display	en exhibición	Noun
On Its Own	solo	Noun
On My Mind	en mi corazón	Noun
On My Way	voy	Noun
On My Way	yendo	Noun
On Purpose	a propósito	Noun
On The	del	Noun
On The Contrary	más bien	Noun
On The Dot	exactamente	Noun
On Top Of	además de	Adjective
On Top Of	encima	Adjective
On Top Of	sobre	Adjective
Once	una	Noun
Once	una ocasión	Noun
Once	una vez	Noun
Once	una vez que	Noun
Once A	una vez	Noun
Once A	una vez al	Noun
Once A	una vez cada	Noun
Once A	una vez por	Noun
Once Before	anteriormente	Noun
Once Before	antes	Noun
Once Before	previamente	Noun
Once Before	una sola vez antes	Noun
Once Before	una vez antes	Noun
Once Upon A Time	había una vez	Noun
One	alguna	Noun
One	alguno	Noun
One	algún	Noun
One	una	Noun
One	uno	Noun
One Another	el uno al otro	Noun
One Day	algún día	Noun
One Hundred	cien	Noun
One Hundred	ciento	Noun
One Kilo	un kilo	Numeral
One More Time	una vez más	Numeral
One Of The	una de las	Noun
One Of The Living Dead	un muerto viviente	Numeral
One Of These Days	algún día	Noun
One Of These Days	un día de estos	Noun
One Size Fits All	de talla única	Noun
One Thousand	mil	Noun
One's	propio	Noun
One's	suyo	Noun
One-Off	individual	Noun
One-Way Trip	un viaje de ida	Noun
Ones	algunas	Noun
Ones	algunos	Noun
Ones	des	Noun
Ones	los	Noun
Ones	misma	Noun
Ones	mismos	Noun
Ones	una	Noun
Ones	unas	Noun
Ones	unos	Noun
Onion	cebolla	Noun
Online	conectado	Noun
Online	electrónico	Noun
Online	en línea	Noun
Online	internet	Noun
Online Banking	la banca electrónica	Noun
Online Platform Provided By The Agencia Tributaria For Tax Return Filing	la Renta Web	Noun
Onlooker	curioso	Noun
Only	pero	Adverb
Only	solamente	Adverb
Only	solo	Adverb
Only	únicamente	Adverb
Only	único	Adverb
Only One	único	Noun
Only Thing	único	Noun
Ons	nos	Noun
Oops	ups	Noun
Open	abierta	Noun
Open	abierto	Noun
Open	abierto al público	Noun
Open	abierto al público en general	Noun
Open	abran	Noun
Open	abras	Noun
Open	abre	Noun
Open	abren	Noun
Open	abres	Noun
Open	abrieron	Noun
Open	abrimos	Noun
Open	abrir	Noun
Open	abriremos	Noun
Open	abrirse	Noun
Open	abrirá	Noun
Open	abrirá algo a algo	Noun
Open	abrirá algo a alguien/algo	Noun
Open	abrirán	Noun
Open	abrirán algo a algo	Noun
Open	abrirán algo a alguien/algo	Noun
Open	abriré	Noun
Open	abriré algo a algo	Noun
Open	abriré algo a alguien/algo	Noun
Open	abriría	Noun
Open	abriría algo a algo	Noun
Open	abriría algo a alguien/algo	Noun
Open	abrirían	Noun
Open	abrirían algo a algo	Noun
Open	abrirían algo a alguien/algo	Noun
Open	abrirías	Noun
Open	abrirías algo a algo	Noun
Open	abrirías algo a alguien/algo	Noun
Open	abriste	Noun
Open	abrió	Noun
Open	abrió algo a algo	Noun
Open	abrió algo a alguien/algo	Noun
Open	abro	Noun
Open	abrí	Noun
Open	amplio	Noun
Open	animarse	Noun
Open	comenzamos	Noun
Open	comenzar	Noun
Open	comenzaremos	Noun
Open	comenzará	Noun
Open	comenzarán	Noun
Open	comenzaré	Noun
Open	comenzaría	Noun
Open	comenzarían	Noun
Open	comenzarías	Noun
Open	comenzó	Noun
Open	comienza	Noun
Open	comienzan	Noun
Open	comienzas	Noun
Open	comienzo	Noun
Open	conectado	Noun
Open	dará a algo	Noun
Open	dará comienzo a	Noun
Open	darán a algo	Noun
Open	darán comienzo a	Noun
Open	daré a algo	Noun
