English	Chinese	Pinyin	Part of Speech
Older Sister	姐姐	jiě jiě	Noun
Oldest	最大的	zuì dà de	Noun
Oldest	最年	zuì nián	Noun
Oldest	最旧的	zuì jiù de	Noun
Olive	橄榄	gǎn lǎn	Noun
Olive Oil	橄榄油	gǎn lǎn yóu	Noun
Olympic	奥运的	ào yùn de	Noun
Olympics	奥运会	ào yùn huì	Noun
Omelet	煎蛋饼	jiān dàn bǐng	Noun
Omen	预兆	yùzhào	Noun
On	上	shàng	Noun
On	上了	shàng le	Noun
On	上的	shàng de	Noun
On	上面	shàng miàn	Noun
On	上面的	shàng miàn de	Noun
On	关于	guān yú	Noun
On	到	dào	Noun
On	在	zài	Noun
On	对	duì	Noun
On	开着	kāi zhe	Noun
On	用	yòng	Noun
On	的	de	Noun
On	身上	shēn shàng	Noun
On	里	lǐ	Noun
On	靠	kào	Noun
On A Lighter Note	说点轻松的	shuō diǎn qīng sōng de	Noun
On Account Of	因为	yīn wèi	Noun
On Average	平均来说	píng jūn lái shuō	Noun
On Business	出差	chū chà	Noun
On Display	陈列着	chén liè zhe	Noun
On Fire	着火	zhe huǒ	Noun
On Foot	步行	bù xíng	Noun
On Foot	走路	zǒu lù	Noun
On His Own	一个人	yī gè rén	Noun
On Holidays	假期时	jià qī shí	Noun
On Live	直播	zhíbō	Verb
On Mute	静音	jìng yīn	Noun
On My Mind	在我脑海里	zài wǒ nǎo hǎi lǐ	Noun
On My Mind	我脑海里的	wǒ nǎo hǎi lǐ de	Noun
On My Own	一个人	yī gè rén	Noun
On My Way	在路上	zài lù shàng	Noun
On Oneself	随身	suí shēn	Noun
On Purpose	成心	chéngxīn	Adverb
On Purpose	故意	gù yì	Adverb
On Sale	大减价	dà jiǎn jià	Noun
On Sale	打折	dǎ zhé	Noun
On Sale	正在出售	zhèng zài chū shòu	Noun
On Sale	特价	tè jià	Noun
On Sale	特价出售	tè jià chū shòu	Noun
On The	在地上	zài dì shàng	Noun
On The	在地板上	zài dì bǎn shàng	Noun
On The	在墙上	zài qiáng shàng	Noun
On The	在微波炉上	zài wēi bō lú shàng	Noun
On The	在收据上	zài shōu jù shàng	Noun
On The	在星球上	zài xīng qiú shàng	Noun
On The	在桌子上	zài zhuō zi shàng	Noun
On The	在沙发上	zài shā fā shàng	Noun
On The	在海滩上	zài hǎi tān shàng	Noun
On The	在电话上	zài diàn huà shàng	Noun
On The	在考试上	zài kǎo shì shàng	Noun
On The	在股票市场上	zài gǔ piào shì chǎng shàng	Noun
On The	在贴纸上	zài tiē zhǐ shàng	Noun
On The	在队中	zài duì zhōng	Noun
On The Boat	在船上	zài chuán shàng	Noun
On The Contrary	反之	fǎnzhī	Verb
On The Contrary	恰恰相反	qià qià xiāng fǎn	Verb
On The Horizon	地平线上	dì píng xiàn shàng	Noun
On The Left	在左边	zài zuǒ biān	Noun
On The Other Hand	另一方面	lìng yì fāng miàn	Noun
On The Phone	在打电话	zài dǎ diàn huà	Noun
On The Right	在右边	zài yòu biān	Noun
On The Scene	现场	xiàn chǎng	Noun
On The Spot	就地	jiù de	Noun
On The Spot	当场	dāngchǎng	Noun
On The Surface	表面上	biǎo miàn shàng	Noun
On The Verge Of	濒临	bīnlín	Adverb
On The Way	在路上	zài lù shàng	Noun
On The Way To	在去上班的路上	zài qù shàng bān de lù shàng	Noun
On The Way To	在去公园的路上	zài qù gōng yuán de lù shàng	Noun
On The Way To	在去办公室的路上	zài qù bàn gōng shì de lù shàng	Noun
On The Way To	在去地铁的路上	zài qù dì tiě de lù shàng	Noun
On The Way To	在去学校的路上	zài qù xué xiào de lù shàng	Noun
On The Way To	在去开会的路上	zài qù kāi huì de lù shàng	Noun
On The Way To	在去我办公室的路上	zài qù wǒ bàn gōng shì de lù shàng	Noun
On The Way To	在去机场的路上	zài qù jī chǎng de lù shàng	Noun
On The Way To	在去看电影的路上	zài qù kàn diàn yǐng de lù shàng	Noun
On The Way To	在去餐馆的路上	zài qù cān guǎn de lù shàng	Noun
On The Whole	总的来说	zǒng de lái shuō	Noun
On Time	准时	zhǔn shí	Adjective
On Time	及时	jí shí	Adjective
On Time	按时	àn shí	Adjective
On Top Of	上面	shàng miàn	Noun
On Top Of	上面的	shàng miàn de	Noun
On Top Of That	除此之外	chú cǐ zhī wài	Noun
On Tv	在电视上	zài diàn shì shàng	Noun
On Tv	电视上	diàn shì shàng	Noun
On Vacation	休假	xiū jiǎ	Noun
On Vacation	在度假	zài dù jià	Noun
On Vacation	度假	dù jiǎ	Noun
On Which Floor	几楼	jǐ lóu	Noun
On-Site	上门	shàng mén	Noun
Onboarding	入职	rù zhí	Verb
Once	一度	yídù	Adverb
Once	一旦	yī dàn	Adverb
Once	一次	yī cì	Adverb
Once	曾	céng	Adverb
Once	曾经	céngjīng	Adverb
Once	有一次	yǒu yī cì	Adverb
Once A	每...一次	měi ... yī cì	Noun
Once Before	曾经一次	céng jīng yī cì	Noun
One	一	yī	Numeral
One	一个	yí gè	Numeral
One	一件	yī jiàn	Numeral
One	一只	yī zhī	Numeral
One	一号	yī hào	Numeral
One	一张	yī zhāng	Numeral
One	一条	yī tiáo	Numeral
One	一点	yì diǎn	Numeral
One	一瓶	yī píng	Numeral
One	一篇	yī piān	Numeral
One	一节	yī jié	Numeral
One	一辆	yī liàng	Numeral
One	一顶	yī dǐng	Numeral
One	一颗	yī kē	Numeral
One	个	gè	Numeral
One After Another	接连	jiēlián	Numeral
One After Another	纷纷	fēn fēn	Numeral
One After Another	陆续	lù xù	Numeral
One By One	一个接一个	yí gè jiē yí gè	Noun
One Day	有一天	yǒu yī tiān	Noun
One Disaster After Another	雪上加霜	xuěshàngjiāshuāng	Numeral
One Hundred	一百	yì bǎi	Noun
One Is Assured And Bold With Justice	理直气壮	lǐzhíqìzhuàng	Noun
One Meter	一米	yī mǐ	Noun
One Moment	稍等	shāo děng	Noun
One Of	之一	zhī yī	Noun
One Of	其中	qí zhōng	Noun
One Of	其中一个	qí zhōng yí gè	Noun
One Of	其中之一	qí zhōng zhī yī	Noun
One Of The	之一	zhī yī	Noun
One Of These Days	哪天	nǎ tiān	Noun
One Side	一边	yìbiān	Noun
One-Sided	片面	piàn miàn	Verb
One-Way	单程的	dān chéng de	Noun
Oneself	本人	běnrén	Verb
One’s Eyes Brimming With Tears	热泪盈眶	rèlèi-yíngkuàng	Noun
Onion	洋葱	yáng cōng	Noun
Online	上网	shàng wǎng	Noun
Online	以线	yǐ xiàn	Noun
Online	在线	zài xiàn	Noun
Online	在网上	zài wǎng shàng	Noun
Online	开线	kāi xiàn	Noun
Online	纯线	chún xiàn	Noun
Online	线上	xiàn shàng	Noun
Online	网上	wǎng shàng	Noun
Online	网上的	wǎng shàng de	Noun
Only	不过是	bù guò shì	Adverb
Only	刚	gāng	Adverb
Only	只	zhǐ	Adverb
Only	只有	zhǐ yǒu	Adverb
Only	只（副词）	zhǐ	Adverb
Only	唯一	wéi yī	Adverb
Only	唯独	wéidú	Adverb
Only	才	cái	Adverb
Only Able To	才	cái	Noun
Only If	只有……才……	zhǐyǒu…cái…	Conjunction
Onto	到	dào	Noun
Onto	在	zài	Noun
Oops	哎呀	āi ya	Noun
Oops	哎呦	āi yōu	Noun
Oops	哎哟	āi yō	Noun
Open	公开	gōngkāi	Verb
Open	展开	zhǎnkāi	Verb
Open	开	kāi	Verb
Open	开业	kāi yè	Verb
Open	开幕	kāi mù	Verb
Open	开放	kāi fàng	Verb
Open	开着	kāi zhe	Verb
Open	开门	kāi mén	Verb
Open	开阔	kāikuò	Verb
Open	打开	dǎ kāi	Verb
Open	敞开的	chǎng kāi de	Verb
Open	睁	zhēng	Verb
Open	睁开	zhēng kāi	Verb
Open	空	kōng	Verb
Open	翻开	fān kāi	Verb
Open	营业的	yíng yè de	Verb
Open An Account	开户	kāi hù	Noun
Open And Honest	坦诚	tǎn chéng	Noun
Open Up	开拓	kāituò	Noun
Open Up	开辟	kāipì	Noun
Open Wide	敞开	chǎngkāi	Verb
Open-Minded	虚心	xū xīn	Verb
Opened	开业	kāi yè	Verb
Opened	开门	kāi mén	Verb
Opened	打开	dǎ kāi	Verb
Opened	打开了	dǎ kāi le	Verb
Opened	营业	yíng yè	Verb
Opening	开	kāi	Verb
Opening	开场	kāi chǎng	Verb
Opening Ceremony	开幕式	kāi mù shì	Noun
Opening Night	首映之夜	shǒu yìng zhī yè	Noun
Opening Remark	开场白	kāi chǎng bái	Noun
Opera	歌剧	gē jù	Noun
Operate	操作	cāo zuò	Noun
Operate	运行	yùn xíng	Noun
Operating Room	手术室	shǒu shù shì	Noun
Operation	手术	shǒushù	Noun
Operation	操作	cāozuò	Noun
Operation	运算	yùnsuàn	Noun
Opinion	主张	zhǔ zhāng	Noun
Opinion	信念	xìn niàn	Noun
Opinion	心目	xīn mù	Noun
Opinion	想法	xiǎng fǎ	Noun
Opinion	意见	yì jiàn	Noun
Opinion	看法	kàn fǎ	Noun
Opinion	见解	jiànjiě	Noun
Opinion	观点	guān diǎn	Noun
Opinion On	对……有什么看法	duì …… yǒu shén me kàn fǎ	Noun
Opinion On	对……的个人看法	duì …… de gè rén kàn fǎ	Noun
Opinion On	对……的看法	duì …… de kàn fǎ	Noun
Opinion On	对这个问题的看法	duì zhè ge wèn tí de kàn fǎ	Noun
Opinion On	意见	yì jiàn	Noun
Opponent	反派	fǎn pài	Noun
Opponent	另一方	lìng yī fāng	Noun
Opponent	对手	duì shǒu	Noun
Opponent	敌	dí	Noun
Opponent	敌方	dí fāng	Noun
Opportunity	时机	shí jī	Noun
Opportunity	机会	jī huì	Noun
Opportunity	机遇	jī yù	Noun
Oppose	反对	fǎn duì	Noun
Oppose	对抗	duì kàng	Noun
Opposite	反对的	fǎn duì de	Noun
Opposite	反面	fǎnmiàn	Noun
Opposite	反面的	fǎn miàn de	Noun
Opposite	在对面	zài duì miàn	Noun
Opposite	对立面	duì lì miàn	Noun
Opposite	对面	duì miàn	Noun
Opposite	往反	wǎng fǎn	Noun
Opposite	相反	xiāng fǎn	Noun
Opposite	相反的	xiāng fǎn de	Noun
Opposite Side	对面	duìmiàn	Noun
Opposition	反对	fǎnduì	Noun
Opposition	对立	duìlì	Noun
Oppress	压抑	yāyì	Noun
Oppression	压迫	yāpò	Noun
Oppressive	沉闷	chénmèn	Adjective
Optimistic	乐观	lè guān	Adjective
Optimistic	充满希望	chōng mǎn xī wàng	Adjective
Optimistic	开朗	kāilǎng	Adjective
Optimize	优化	yōu huà	Noun
Option	抉择	jué zé	Noun
Option	期权	qī quán	Noun
Option	选择	xuǎn zé	Noun
Option	选项	xuǎn xiàng	Noun
Option	選擇	xuǎn zé	Noun
Or	否则	fǒu zé	Conjunction
Or	和	hé	Conjunction
Or	或	huò	Conjunction
Or	或是	huò shì	Conjunction
Or	或者	huò zhě	Conjunction
Or	或者是	huò zhě shì	Conjunction
Or	要不	yàobù	Conjunction
Or	要么	yào me	Conjunction
Or	还是	hái shì	Conjunction
Or Else	不然	bù rán	Noun
Or Else	要不	yào bù	Noun
Or Not	到底要不要	dào dǐ yào bù yào	Noun
Or Two	两	liǎng	Noun
Oral	口头	kǒutóu	Noun
Oral Cavity	口腔	kǒuqiāng	Noun
Orange	桔子	júzi	Noun
Orange	橘	jú	Noun
Orange	橘子	jú zi	Noun
Orange	橘色	jú sè	Noun
Orange	橘黄色	jú huáng sè	Noun
Orange	橘黄色的	jú huáng sè de	Noun
Orange	橙	chéng	Noun
Orange	橙子	chéng zi	Noun
Orange	橙色	chéng sè	Noun
Orange	橙色的	chéng sè de	Noun
Orbit	轨道	guǐ dào	Noun
Orchestra	乐团	lè tuán	Noun
Orchestra	交响乐团	jiāo xiǎng yuè tuán	Noun
Order	人点	rén diǎn	Noun
Order	份	fèn	Noun
Order	命令	mìng lìng	Noun
Order	序	xù	Noun
Order	指令	zhǐlìng	Noun
Order	排名	pái míng	Noun
Order	桌点	zhuō diǎn	Noun
Order	次序	cìxù	Noun
Order	点	diǎn	Noun
Order	点个	diǎn gè	Noun
Order	点单	diǎn dān	Noun
Order	点好	diǎn hǎo	Noun
Order	点菜	diǎn cài	Noun
Order	点餐	diǎn cān	Noun
Order	秩	zhì	Noun
Order	秩序	zhì xù	Noun
Order	菜点	cài diǎn	Noun
Order	订	dìng	Noun
Order	订个	dìng gè	Noun
Order	订到	dìng dào	Noun
Order	订单	dìng dān	Noun
Order	订过	dìng guò	Noun
Order	该点	gāi diǎn	Noun
Order	责令	zé lìng	Noun
Order	顺序	shùn xù	Noun
Order	预定	yù dìng	Noun
Order	预订	yù dìng	Noun
Order Drinks	点单	diǎn dān	Noun
Order Food	点单	diǎn dān	Noun
Order Tickets	订票	dìng piào	Noun
Ordering	订	dìng	Verb
Orderly	有序	yǒu xù	Adverb
Ordinary	平凡	píngfán	Adjective
Ordinary	平凡的	píng fán de	Adjective
Ordinary	普通	pǔ tōng	Adjective
Ordinary People	老百姓	lǎobǎixìng	Noun
Organ	器官	qìguān	Noun
Organic	有机	yǒu jī	Noun
Organic	有机的	yǒu jī de	Noun
Organization	机构	jī gòu	Noun
Organization	组织	zǔzhī	Noun
Organize	安排	ān pái	Noun
Organize	整理	zhěng lǐ	Noun
Organize	组织	zǔ zhī	Noun
Organized	有条理	yǒu tiáo lǐ	Adjective
Organized	条理	tiáolǐ	Adjective
Organizer	组织者	zǔ zhī zhě	Noun
Origin	来历	láilì	Noun
Origin	起源	qǐ yuán	Noun
Original	原先	yuánxiān	Adjective
Original	原创	yuán chuàng	Adjective
Original	原始	yuánshǐ	Adjective
Original	原来	yuán lái	Adjective
Original	当初	dāngchū	Adjective
Original	起初的	qǐ chū de	Adjective
Originally	本来	běn lái	Adverb
Orphan	孤儿	gū ér	Noun
Otaku	宅男	zhái nán	Noun
Other	其他	qítā	Noun
Other	别的	bié de	Noun
Other	另外	lìng wài	Noun
Other Party	对方	duì fāng	Noun
Other People	别人	bié rén	Noun
Other Side	另一边	lìng yī biān	Noun
Others	他人	tā rén	Noun
Others	其他	qí tā	Noun
Others	其他人	qí tā rén	Noun
Others	别人	bié rén	Noun
Otherwise	不然	bù rán	Verb
Otherwise	不然的话	bù rán de huà	Verb
Otherwise	否则	fǒu zé	Verb
Otherwise	要不	yào bù	Verb
Ought	应该	yīng gāi	Noun
Ought To	应该	yīng gāi	Noun
Our	我们	wǒ men	Noun
Our	我们的	wǒ men de	Noun
Our	我們	wǒ men	Noun
Ours	我们的	wǒ men de	Noun
Ours	我們	wǒ men	Noun
Ourselves	我们自己	wǒ men zì jǐ	Noun
Ourselves	自己	zì jǐ	Noun
Out	不亮	bù liàng	Noun
Out	出	chū	Noun
Out	出去	chū qù	Noun
Out	出去了	chū qù le	Noun
Out	去外面	qù wài miàn	Noun
Out	外	wài	Noun
Out	外边	wài biān	Noun
Out	外面	wài miàn	Noun
Out	灯不亮	dēng bù liàng	Noun
Out Of	从...里	cóng ... lǐ	Noun
Out Of	分之	fēn zhī	Noun
Out Of Control	失控	shī kòng	Noun
Out Of Nowhere	突然出现	tū rán chū xiàn	Noun
Out Of Order	发生故障	fā shēng gù zhàng	Noun
Out Of Order	坏了	huài le	Noun
Out Of Practice	荒疏	huāng shū	Noun
Out Of Shape	不健康	bù jiàn kāng	Noun
Out Of Shape	身体不好	shēn tǐ bù hǎo	Noun
Out Of Stock	没货了	méi huò le	Noun
Out Of Stock	缺货	quē huò	Noun
Out Of The Way	偏僻	piānpì	Noun
Out Of Town	市郊的	shì jiāo de	Noun
Out Of Work	失业	shī yè	Noun
Out There	外面	wài miàn	Noun
Out-Of-Date	过时	guò shí	Noun
Out-Of-Town	外地	wài de	Noun
Outbound	出境	chū jìng	Noun
Outcome	收获	shōu huò	Noun
Outdoor	户外	hù wài	Noun
Outdoor	户外的	hù wài de	Noun
Outdoors	在户外	zài hù wài	Noun
Outfit	衣服	yī fú	Noun
Outgoing	外向	wài xiàng	Verb
Outgoing	外向的	wài xiàng de	Verb
Outlay	开销	kāi xiāo	Noun
Outline	大纲	dà gāng	Noun
Outline	提纲	tígāng	Noun
Outline	轮廓	lúnkuò	Noun
Outlying	偏僻	piānpì	Verb
Outpatient Clinic	门诊	mén zhěn	Noun
Outrageous	岂有此理	qǐyǒu-cǐlǐ	Adjective
Outrageous	过分的	guò fèn de	Adjective
Outside	去外面	qù wài miàn	Adjective
Outside	在外面	zài wài miàn	Adjective
Outside	外	wài	Adjective
Outside	外界	wàijiè	Adjective
Outside	外边	wài biān	Adjective
Outside	外面	wài miàn	Adjective
Outskirts	郊区	jiāo qū	Noun
Outspread	扩张	kuòzhāng	Noun
Outstanding	出色	chūsè	Adjective
Outstanding	杰出	jié chū	Adjective
Outstanding	高超	gāochāo	Adjective
Oven	烤箱	kǎo xiāng	Noun
Over	上	shàng	Noun
Over	上方	shàng fāng	Noun
Over	上空	shàng kōng	Noun
Over	为了	wèi le	Noun
Over	之上	zhī shàng	Noun
Over	从头	cóng tóu	Noun
Over	以上	yǐ shàng	Noun
Over	到	dào	Noun
Over	多一点儿	duō yì diǎn ér	Noun
Over	头顶	tóu dǐng	Noun
Over	整个	zhěng gè	Noun
Over	整个都	zhěng gè dōu	Noun
Over	结束	jié shù	Noun
Over	结束了	jié shù le	Noun
Over	超过	chāo guò	Noun
Over	过	guò	Noun
Over	逾	yú	Noun
Over And Over	一遍又一遍	yī biàn yòu yī biàn	Noun
Over Here	这里	zhè lǐ	Noun
Over There	那边	nà biān	Noun
Over There	那里	nà lǐ	Noun
Over Time	随着时间的推移	suí zhe shí jiān de tuī yí	Noun
Over-Speeding	超速	chāo sù	Verb
Overall	总之	zǒng zhī	Noun
Overall	总体上	zǒng tǐ shàng	Noun
Overall	总体来说	zǒng tǐ lái shuō	Noun
Overall	总的来说	zǒng de lái shuō	Noun
Overall	整体	zhěng tǐ	Noun
Overall Situation	全局	quánjú	Noun
Overbear	压抑	yāyì	Noun
Overbearing	霸道	bàdào	Verb
Overcome	克服	kè fú	Verb
Overcome	战胜	zhàn shèng	Verb
Overdo It	做得过火	zuò dé guò huǒ	Noun
Overdose	中毒	zhōng dú	Noun
Overestimate	高估	gāo gū	Noun
Overlap	重叠	chóngdié	Noun
Overlay	覆盖	fùgài	Preposition
Overnight	一夜之间	yī yè zhī jiān	Noun
Overnight	很快的	hěn kuài de	Noun
Overpass	天桥	tiān qiáo	Noun
Overpass	立交桥	lì jiāo qiáo	Noun
Override	践踏	jiàntà	Noun
Overrule	否决	fǒujué	Noun
Overseas	海外的	hǎi wài de	Noun
Overseas Chinese	华侨	huáqiáo	Adjective
Overseas Study	留学	liúxué	Verb
Overspeed	超速	chāo sù	Verb
Overtake	超车	chāo chē	Noun
Overtake A Vehicle	超车	chāo chē	Noun
Overthrow	推翻	tuīfān	Verb
Overtime	加时赛	jiā shí sài	Noun
Overtime	加班	jiā bān	Noun
Overtime Work	加班	jiābān	Verb
Overweight	超重	chāo zhòng	Noun
Overwhelmed	不知所措	bù zhī suǒ cuò	Verb
Owe	欠	qiàn	Noun
Owl	猫头鹰	māo tóu yīng	Noun
Own	一个人	yī gè rén	Verb
Own	亲生	qīn shēng	Verb
Own	各自	gè zì	Verb
Own	持有	chí yǒu	Verb
Own	自家	zì jiā	Verb
Own	自己	zì jǐ	Verb
Own	自己的	zì jǐ de	Verb
Own	自身	zì shēn	Verb
Owner	业主	yè zhǔ	Noun
Owner	主人	zhǔ rén	Noun
Owner	所有者	suǒ yǒu zhě	Noun
Owner	拥有者	yōng yǒu zhě	Noun
Ox	牛	niú	Noun
Oxygen	氧气	yǎngqì	Noun
O’clock	点	diǎn	Noun
Pace	步伐	bùfá	Noun
Pace	步得	bù dé	Noun
Pace	步调	bù diào	Noun
Pace	脚步	jiǎo bù	Noun
Pace	节奏	jié zòu	Noun
Pace	踱步	duó bù	Noun
Pace	进度	jìn dù	Noun
Pace	速度	sù dù	Noun
Pacifier	奶嘴	nǎi zuǐ	Noun
Pack	一包	yī bāo	Noun
Pack	包	bāo	Noun
Pack	包装	bāozhuāng	Noun
Pack	带个	dài gè	Noun
Pack	打包	dǎ bāo	Noun
Pack	拾	shí	Noun
Pack	收拾	shōu shí	Noun
Pack	行囊	xíng náng	Noun
Pack	装	zhuāng	Noun
Pack	装好	zhuāng hǎo	Noun
Pack	驮	tuó	Noun
Package	包	bāo	Noun
Package	包裹	bāo guǒ	Noun
Package	快递	kuài dì	Noun
Package	配套	pèi tào	Noun
Packaging	包装	bāo zhuāng	Verb
Packed	打包	dǎ bāo	Verb
Packed	打包了	dǎ bāo le	Verb
Packing	打包	dǎ bāo	Verb
Packs	打包	dǎ bāo	Noun
Pad	垫	diàn	Noun
Paddle	划	huà	Noun
Page	页	yè	Noun
Page	页面	yè miàn	Noun
Paid	付	fù	Noun
Paid	付了	fù le	Noun
Paid	付了款	fù le kuǎn	Noun
Paid	付了钱	fù le qián	Noun
Paid	付钱	fù qián	Noun
Paid Leave	带薪假	dài xīn jiǎ	Noun
Pain	痛苦	tòngkǔ	Noun
Painful	痛苦	tòng kǔ	Noun
Painful	痛苦的	tòng kǔ de	Noun
Paint	刷	shuā	Noun
Paint	料	liào	Noun
Paint	油漆	yóuqī	Noun
Paint	涂	tú	Noun
Paint	涂成	tú chéng	Noun
Paint	画	huà	Noun
Paint	颜料	yán liào	Noun
Painted	刷了	shuā le	Verb
Painted	刷成	shuā chéng	Verb
Painted	彩绘	cǎi huì	Verb
Painted	涂	tú	Verb
Painted	涂了	tú le	Verb
Painted	涂成	tú chéng	Verb
Painted	涂成了	tú chéng le	Verb
Painted	画了	huà le	Verb
Painted	画画了	huà huà le	Verb
Painted	画的	huà de	Verb
Painter	画家	huà jiā	Noun
Painters	画家	huà jiā	Noun
Painting	作画	zuò huà	Noun
Painting	图画	tú huà	Noun
Painting	幅画	fú huà	Noun
Painting	画	huà	Noun
Painting	画像	huà xiàng	Noun
Painting	画儿	huà ér	Noun
Painting	画画	huà huà	Noun
Painting	绘画	huì huà	Noun
Painting	这画儿	zhè huà ér	Noun
Pair	副	fù	Noun
Pair	双	shuāng	Noun
Pair	条	tiáo	Noun
Pair	配对	pèi duì	Noun
Pair Of	副	fù	Noun
Pair Of	双	shuāng	Noun
Pair Of	对	duì	Noun
Pair Of	把	bǎ	Noun
Pair Of	条	tiáo	Noun
Pairs	副	fù	Noun
Pairs Of	双	shuāng	Noun
Pajama	睡衣	shuì yī	Noun
Palace	宫殿	gōng diàn	Noun
Palate Sensation	口感	kǒu gǎn	Noun
Pale	苍白	cāngbái	Adjective
Pan	平底锅	píng dǐ guō	Noun
Pan	煎锅	jiān guō	Noun
Panda	熊猫	xióng māo	Noun
Panic	恐慌	kǒng huāng	Noun
Panic	惊慌	jīng huāng	Noun
Panic	惊慌失措	jīng huāng shī cuò	Noun
Panic	慌	huāng	Noun
Panic	慌张	huāng zhāng	Noun
Panic	时慌	shí huāng	Noun
Panting	喘气	chuǎnqì	Verb
Pants	皮裤	pí kù	Noun
Pants	裤	kù	Noun
Pants	裤子	kù zi	Noun
Pants	裤装	kù zhuāng	Noun
Pants	长裤	zhǎng kù	Noun
Paparazzi	狗仔队	gǒu zǎi duì	Noun
Paper	文件	wén jiàn	Noun
Paper	纸	zhǐ	Noun
Paper	论文	lùnwén	Noun
Paper Towels	纸巾	zhǐ jīn	Noun
Papers	报纸	bào zhǐ	Noun
Paperwork	文书工作	wén shū gōng zuò	Noun
Parachute	跳伞	tiào sǎn	Noun
Parachute Jumping	跳伞	tiào sǎn	Noun
Parachuting	跳伞	tiào sǎn	Verb
Parade	游行	yóu xíng	Noun
Paragraph	段	duàn	Noun
Paragraph	段落	duàn luò	Noun
Paragraphs	段	duàn	Noun
Parallel	平行	píngxíng	Noun
Parallel	并列	bìngliè	Noun
Paralysis	瘫痪	tānhuàn	Noun
Paralysis	麻痹	mábì	Adjective
Parcel Locker	快递柜	kuài dì guì	Noun
Parent	家长	jiā zhǎng	Noun
Parent	父母	fù mǔ	Noun
Parent's	父母	fù mǔ	Noun
Parent-Child Relationship	亲子关系	qīn zi guān xì	Noun
Parent-Teacher Meeting	家长会	jiā zhǎng huì	Noun
Parenting	育儿	yù ér	Verb
Parents	父母	fù mǔ	Noun
Parents'	父母	fù mǔ	Noun
Paris	巴黎	bā lí	Noun
Park	停	tíng	Noun
Park	停放	tíng fàng	Noun
Park	停车	tíng chē	Noun
Park	公园	gōng yuán	Noun
Park	朴	pǔ	Noun
Parking	停车	tíng chē	Verb
Parking Fee	停车费	tíng chē fèi	Noun
Parking Garage	停车场	tíng chē chǎng	Noun
Parking Lot	停车场	tíng chē chǎng	Noun
Parking Space	停车位	tíng chē wèi	Noun
Parking Spot	停车位	tíng chē wèi	Noun
Parrot	鹦鹉	yīng wǔ	Noun
Part	分别	fēnbié	Noun
Part	告别	gào bié	Noun
Part	部	bù	Noun
Part	部位	bùwèi	Noun
Part	部分	bù fēn	Noun
Part-Time	兼职	jiān zhí	Noun
Part-Time Job	兼职	jiān zhí	Noun
Participate	上场	shàng chǎng	Noun
Participate	人来	rén lái	Noun
Participate	参	cān	Noun
Participate	参与	cān yǔ	Noun
Participate	参加	cān jiā	Noun
Participate	参加考试	cān jiā kǎo shì	Noun
Participate In	参与	cānyù	Preposition
Participate In	参加	cānjiā	Preposition
Participation	参与	cān yǔ	Noun
Particle	啦	la	Noun
Particular	讲究	jiǎng jiū	Noun
Particularly	特别	tè bié	Adverb
Parties	聚会	jù huì	Noun
Partly	部分	bù fēn	Adverb
Partner	伙	huǒ	Noun
Partner	伙伴	huǒ bàn	Noun
Partner	伙计	huǒ jì	Noun
Partner	伴侣	bàn lǚ	Noun
Partner	侣	lǚ	Noun
Partner	共事	gòng shì	Noun
Partner	另一半	lìng yí bàn	Noun
Partner	合伙人	hé huǒ rén	Noun
Partner	合作伙伴	hé zuò huǒ bàn	Noun
Partner	同志	tóngzhì	Noun
Partner	对象	duì xiàng	Noun
Partner	恋人	liàn rén	Noun
Partner	情人	qíng rén	Noun
Partner	搭档	dā dàng	Noun
Partner	爱人	ài rén	Noun
Partner	结婚的人	jié hūn de rén	Noun
Party	一伙	yī huǒ	Noun
Party	会派	huì pài	Noun
Party	党	dǎng	Noun
Party	夜办	yè bàn	Noun
Party	宴会	yànhuì	Noun
Party	当事人	dāngshìrén	Noun
Party	政党	zhèng dǎng	Noun
Party	派对	pài duì	Noun
Party	聚会	jù huì	Noun
Pass	传	chuán	Noun
Pass	传球	chuán qiú	Noun
Pass	及格	jí gé	Noun
Pass	票	piào	Noun
Pass	超车	chāo chē	Noun
Pass	过	guò	Noun
Pass	过去	guò qù	Noun
Pass	过（动词）	guò	Noun
Pass	递	dì	Noun
Pass	通过	tōng guò	Noun
Pass A Vehicle	超车	chāo chē	Noun
Pass Away	去世	qù shì	Verb
Pass By	经过	jīng guò	Noun
Pass On	转告	zhuǎn gào	Noun
Pass Out	晕倒	yūn dào	Noun
Pass The Ball	传球	chuán qiú	Noun
Pass The Time	消磨时间	xiāo mó shí jiān	Noun
Pass Through	穿越	chuānyuè	Preposition
Passed	经过	jīng guò	Verb
Passed	通过	tōng guò	Verb
Passed	通过了	tōng guò le	Verb
Passenger	乘客	chéng kè	Noun
Passerby	路人	lù rén	Noun
Passing	路过	lù guò	Verb
Passing By	经过	jīng guò	Noun
Passion	恋	liàn	Noun
Passion	情感	qíng gǎn	Noun
Passion	激情	jīqíng	Noun
Passion	热情	rè qíng	Noun
Passive	被动	bèi dòng	Adjective
Passport	护照	hù zhào	Noun
Passport	通行证	tōng xíng zhèng	Noun
Passport Control	护照检查	hù zhào jiǎn chá	Noun
Password	密码	mì mǎ	Noun
Past	以往	yǐwǎng	Noun
Past	再过去一点	zài guò qù yì diǎn	Noun
Past	往事	wǎngshì	Noun
Past	经过	jīng guò	Noun
Past	过	guò	Noun
