English	French	Part of Speech
Matter	comptes	Noun
Matter	d'affaires	Noun
Matter	d'importance	Noun
Matter	importait	Noun
Matter	importe	Noun
Mattress	matelas	Noun
Mature	mûr	Adjective
Maturity	l'âge mûr	Noun
Mawkishly	à l'eau de rose	Adjective
Maximum	maximal	Noun
May	aubépine	Noun
May	avoir le droit d'	Noun
May	force	Noun
May	mai	Noun
May	peut	Noun
May	peuvent	Noun
May	peux	Noun
May	pouvez	Noun
May	pouvoir	Noun
May	pouvons	Noun
May	puis	Noun
May	puissance	Noun
May	puisse	Noun
May	puissent	Noun
May	puisses	Noun
May	puissiez	Noun
May	puissions	Noun
May	qu'	Noun
May	que	Noun
May	risquons	Noun
May	va peut-être	Noun
May	vont peut-être	Noun
May	être autorisé à	Noun
May Be	seraient	Noun
May Be	être	Noun
May Not	ne pas être autorisé à	Noun
May Not	ne pas être permis de	Noun
May We	pourrait-on	Noun
May We	pouvoir	Noun
May We	pouvons	Noun
May We	puissions	Noun
Maybe	peut-être	Noun
Maybe	peut-être que	Noun
Mayonnaise	mayonnaise	Noun
Mayor	bourgmestre	Noun
Mayor	magistrat	Noun
Mayor	maire	Noun
Mayor	mairesse	Noun
Me	m'	Pronoun
Me	moi	Pronoun
Me Allow It	m'en	Noun
Me Realize It	m'en	Noun
Me Remember It	m'en	Noun
Meal	collations	Noun
Meal	repas	Noun
Mean	comptez	Noun
Mean	désigne	Noun
Mean	moyenne	Noun
Mean	moyens	Noun
Mean	méchant	Adjective
Mean	méchante	Noun
Mean	méchantes	Noun
Mean	méchants	Noun
Mean	odieux	Noun
Mean	signifie	Noun
Mean	signifient	Noun
Mean	signifier	Noun
Mean	signifions	Noun
Mean	vilaine	Noun
Mean	vilaines	Noun
Meaning	sens	Verb
Means	moyenne	Noun
Means	moyens	Noun
Means Of Transport	le véhicule	Noun
Meant	-enne	Noun
Meant	aura l'intention de	Noun
Meant	avait l'intention de	Noun
Meant	avare	Noun
Meant	avoir l'intention de	Noun
Meant	bas	Noun
Meant	basse	Noun
Meant	chiche	Noun
Meant	comptait	Noun
Meant	compter	Noun
Meant	comptera	Noun
Meant	compté	Noun
Meant	entendu	Noun
Meant	entraînait	Noun
Meant	entraîner	Noun
Meant	entraînera	Noun
Meant	entraîné	Noun
Meant	eu l'intention de	Noun
Meant	formidable	Noun
Meant	hostile	Noun
Meant	implacable	Noun
Meant	mauvais	Noun
Meant	mesquin	Noun
Meant	milieu	Noun
Meant	misérable	Noun
Meant	modeste	Noun
Meant	moyen	Noun
Meant	moyenne	Noun
Meant	méchant	Noun
Meant	pensait	Noun
Meant	penser	Noun
Meant	pensera	Noun
Meant	pensé	Noun
Meant	pingre	Noun
Meant	sale	Noun
Meant	signifiait	Noun
Meant	signifier	Noun
Meant	signifiera	Noun
Meant	signifié	Noun
Meant	sévère	Noun
Meant	vache	Noun
Meant	voudra	Noun
Meant	voulait	Noun
Meant	vouloir	Noun
Meant	voulu	Noun
Meanwhile	cependant	Noun
Meanwhile	entre-temps	Noun
Meanwhile	pendant ce temps-là	Noun
Measure	dispositif	Noun
Measure	mesure	Noun
Measure	mesurent	Noun
Measure	mesurer	Noun
Measure	mesures	Noun
Measure	mesurez	Noun
Measure	mesurons	Noun
Measure	précaution	Noun
Measures	mesure	Noun
Measuring Tape	mètre	Noun
Meat	viande	Noun
Meat-Eating	carnivore	Adjective
Mechanic	garagiste	Noun
Mechanic	le mécanicien	Noun
Mechanic	mécanicien	Noun
Mechanic	mécanicienne	Noun
Mechanic's	garage	Noun
Mechanical	mécanique	Noun
Medal	la médaille	Noun
Medal	médaille	Noun
Medalist	médaillé	Noun
Media	médias	Adjective
Media	médiatique	Adjective
Media-Related	audiovisuel	Adjective
Medical	l'ampoule	Noun
Medical	médical	Noun
Medical Prescription	l'ordonnance	Noun
Medical Test	l'analyse	Noun
Medical Test	l'examen	Noun
Medication	médicament	Noun
Medicine	le médicament	Noun
Medicine	médecine	Noun
Medicine	médicament	Noun
Medieval	médiéval	Adjective
Medieval Period	le Moyen Âge	Noun
Mediocre	médiocre	Adjective
Mediocre	quelconque	Adjective
Meditation	la méditation	Noun
Mediterranean	méditerranéen	Adjective
Medium	le médium	Noun
Medium	moyen	Noun
Medium	moyenne	Noun
Medium	moyens	Noun
Medium	technique	Noun
Medium Rare	à point	Noun
Medium-Length	mi-long	Adjective
Medium-Sized	moyenne	Verb
Meet	accomplir	Noun
Meet	assumer	Noun
Meet	couvres	Noun
Meet	couvrons	Noun
Meet	croiser	Noun
Meet	rejoindre	Noun
Meet	rejoins	Noun
Meet	rencontre	Noun
Meet	rencontrent	Noun
Meet	rencontrer	Noun
Meet	rencontres	Noun
Meet	rencontrons	Noun
Meet	satisfaire	Noun
Meet Up	retrouve	Noun
Meet Up	se réunissent	Noun
Meet Up With	retrouver	Noun
Meeting	conseil	Noun
Meeting	entretien	Noun
Meeting	l'entretien	Noun
Meeting	l'entrevue	Noun
Meeting	la réunion	Noun
Meeting	rencontrer	Noun
Meeting	réunion	Noun
Meh	bof	Noun
Melancholy	la mélancolie	Noun
Melodies	chants	Noun
Melodious	harmonieux	Adjective
Melody	la mélodie	Noun
Melon	la pastèque	Noun
Melt	fondre	Noun
Member	l'abonné	Noun
Member	l'associé	Noun
Member	membre	Noun
Member Of Parliament	le député	Noun
Member Of The Senate	le sénateur	Noun
Membership	l'abonnement	Noun
Memento	souviennent	Noun
Mementos	souvenir	Noun
Memorable	inoubliable	Adjective
Memorable	marquant	Adjective
Memorable	marquante	Adjective
Memorable	marquantes	Adjective
Memorable	mémorable	Adjective
Memory	la mémoire	Noun
Memory	mémoire	Noun
Memory	souvenir	Noun
Memory	souviennent	Noun
Men	hommes	Noun
Men	mince	Noun
Mending	la réparation	Noun
Mental	morale	Adjective
Mentality	la mentalité	Noun
Mention	citais	Noun
Mention	cite	Noun
Mention	citer	Noun
Mention	mentionne	Noun
Mention	mentionnent	Noun
Mention	mentionner	Noun
Mention	mentionnez	Noun
Mention	mentionnions	Noun
Mention	mentionnons	Noun
Mention	mentionnés	Noun
Mention	parlée	Noun
Mention	refera	Noun
Mention	referai	Noun
Mention	évoquons	Noun
Menu	carte	Noun
Merchant	le commerçant	Noun
Merciless	impitoyable	Noun
Merge	confondre	Noun
Mermaid	sirène	Noun
Mess	bazar	Noun
Mess	désordre	Noun
Mess	le désordre	Noun
Mess Up	bousiller	Noun
Mess Up	foirer	Noun
Mess Up	gâcher	Noun
Mess Up	manquer	Noun
Mess Up	rater	Noun
Message	l'annonce	Noun
Message	l'information	Noun
Message	n'enverrait	Noun
Messing	gâcher	Verb
Messy	désordonné	Phrase
Messy	désordonnée	Phrase
Messy	désordonnées	Phrase
Messy	désordonnés	Phrase
Messy	en désordre	Phrase
Messy	négligé	Adjective
Messy-Haired	mal coiffé	Phrase
Met	a rencontré	Noun
Met	accomplir	Noun
Met	ai rencontré	Noun
Met	avons rencontré	Noun
Met	cherchera	Noun
Met	couvert	Noun
Met	croiser	Noun
Met	croisera	Noun
Met	nous sommes rencontrés	Noun
Met	rejoints	Noun
Met	rencontra	Noun
Met	rencontrait	Noun
Met	s'est rencontrés	Noun
Met	satisfaire	Noun
Metabolism	le métabolisme	Noun
Metal	le métal	Noun
Metal	métal	Noun
Metallic Element	le métal	Noun
Meter	le mètre	Noun
Meter	mètre	Noun
Method	d'enseignement	Noun
Method	l'approche	Noun
Method	moyenne	Noun
Method	méthode	Noun
Method	niques	Noun
Methods	moyens	Noun
Meticulous	minutieux	Adjective
Metre	le mètre	Noun
Metro	le métro	Noun
Metro Station	la station de métro	Noun
Mexican	mexicain	Adjective
Mexican	mexicaine	Adjective
Mexican	mexicaines	Adjective
Mexican	mexicains	Adjective
Mexico	Mexique	Noun
Mic	micro	Noun
Mice	souris	Noun
Microphone	micro	Noun
Microwave	au four à micro-ondes	Noun
Microwave	four à micro-ondes	Noun
Microwave	micro-onde	Noun
Microwave	micro-ondes	Noun
Microwave	à micro-ondes	Noun
Mid-Length	mi-long	Adjective
Middle	milieu	Noun
Middle	moyenne	Noun
Middle	moyens	Noun
Middle Ages	le Moyen Âge	Noun
Middle Ages	Moyen Âge	Noun
Middle School	collège	Noun
Middle School	le collège	Noun
Middle School Student	le collégien	Noun
Middle-Aged	d'âge moyen	Verb
Middle-Level	intermédiaire	Adjective
Middle-Of-The-Road	moyenne	Noun
Middles	moyens	Noun
Midnight	minuit	Noun
Midterm	partiels	Noun
Might	il est possible qu'	Noun
Might	pourrions	Noun
Might	puissance	Noun
Might	puisse	Noun
Might	risque	Noun
Might	va peut-être	Noun
Might	vais peut-être	Noun
Might	vont peut-être	Noun
Might Be	seraient	Noun
Might Be	serait	Noun
Might Have	aurait	Noun
Might Leave	quitterait	Noun
Might Not	ne vais peut-être pas	Noun
Might Not Be	ne pas être	Noun
Might Not Be	pourrait ne pas être	Noun
Might Not Have	n'avoir peut-être pas	Noun
Might Not Have	n'avoir peut-être pas été	Noun
Might Not Have	ne pas avoir aimé	Noun
Might Not Have	ne pas avoir réalisé	Noun
Might Not Have	pourrait ne pas avoir été	Noun
Might You	pourrais-tu	Noun
Might You	pourriez-vous	Noun
Might You	retourneriez-vous	Noun
Migrant	l'immigré	Noun
Migration	l'émigration	Noun
Mild	douce	Adjective
Mild	douces	Adjective
Mild	doux	Adjective
Mild	tempéré	Adjective
Mildness	douceur	Noun
Mile	milles	Noun
Milestone	borne	Noun
Milestone	étape importante	Noun
Milieu	milieu	Noun
Military Defense	le défense	Noun
Milk	lait	Noun
Milk	pompe	Noun
Milky Coffee	du café au lait	Noun
Millimeter	millimètre	Noun
Million	millions	Noun
Minced Steak	le steak haché	Noun
Mind	esprit	Noun
Mind	gênerait	Noun
Mind	l'esprit	Noun
Mind	la tête	Noun
Mind	pensées	Noun
Minds	pensées	Noun
Minds	tenir	Noun
Mindset	la mentalité	Noun
Mine	mien	Pronoun
Mine	mienne	Pronoun
Mine	miennes	Pronoun
Mine	miens	Pronoun
Mine	à moi	Pronoun
Mine's	mien	Noun
Mine's	mienne	Noun
Mineral	minérale	Noun
Mingle	se mêler	Noun
Minim	blanc	Noun
Minimum	minimal	Noun
Minimum	minimale	Noun
Minimum	minimales	Noun
Minimum	minimaux	Noun
Minimum	minime	Noun
Minister	ministre	Noun
Minor	léger	Noun
Minor	légère	Noun
Minor	menu	Noun
Minor	petit	Noun
Minor	petite	Noun
Minor Point	détail	Noun
Minority	la minorité	Noun
Mint	menthe	Noun
Minute	moment	Noun
Miracle	miracle	Noun
Mirror	miroir	Noun
Misadventure	la mésaventure	Noun
Miserable	triste	Noun
Miserly	avare	Adjective
Misery	la misère	Noun
Mishap	la mésaventure	Noun
Misleading	trompeur	Verb
Miss	mademoiselle	Noun
Miss	manque	Noun
Miss	manquent	Noun
Miss	manquera	Noun
Miss	manquez	Noun
Miss	Mlle	Noun
Miss	rate	Noun
Miss	rater	Noun
Miss	rates	Noun
Miss	ratons	Noun
Miss	évitons	Noun
Miss Out	louper	Noun
Miss Out	manquer	Noun
Miss Out	passer à côté de	Noun
Miss Out	perdre	Noun
Miss Out	rater	Noun
Miss Out	être privé de	Noun
Missed	a raté	Verb
Missed	ai raté	Verb
Missed	as manqué	Verb
Missed	manquait	Verb
Missed	manquer	Verb
Missed	ont manqué	Verb
Missed	ont raté	Verb
Missed	rater	Verb
Missed	ratiez	Verb
Missed	rations	Verb
Missed	raté	Verb
Missed	évitions	Verb
Misses	manque	Noun
Misses	manquer	Noun
Misses	rate	Noun
Missing	disparu	Verb
Missing	manquer	Verb
Missing	rater	Verb
Mission	géré par une mission	Noun
Mist	brume	Noun
Mistake	erreur	Noun
Mistake	gaffe	Noun
Mistake	l'erreur	Noun
Mistake	mégarde	Noun
Mistake	tort	Noun
Mistake	trompes	Noun
Mistaken	trompé	Noun
Mistletoe	gui	Noun
Misunderstanding	malentendu	Noun
Mix	le mélange	Noun
Mix	mélange	Noun
Mix	mélanger	Noun
Mix Up	confondre	Noun
Mixed	mitigé	Adjective
Mixer	robot	Noun
Mixes	mélange	Noun
Mixture	le mélange	Noun
Mixture	mélange	Noun
Mobile	mobile	Noun
Mobilize	mobiliser	Noun
Mock	moquer	Noun
Model	le modèle	Noun
Model	look	Noun
Model	mannequin	Noun
Model	miniature	Noun
Model	modèle	Noun
Model	motif	Noun
Model	poserais	Noun
Moderate	raisonnable	Adjective
Modern	moderne	Adjective
Modern-Day	contemporain	Adjective
Modest	modeste	Adjective
Modified	modifier	Verb
Moist	humide	Adjective
Moisturize	hydrater	Noun
Mole	le grain de beauté	Noun
Molecule	la molécule	Noun
Mom	maman	Noun
Mom	Maman	Noun
Mom	mère	Noun
Moment	instant	Noun
Moment	l'instant	Noun
Mommy	maman	Noun
Monastery	l'abbaye	Noun
Monday	lundi	Noun
Money	argent	Noun
Money	l'argent	Noun
Money	prêter	Verb
Money Back	recouvrement	Noun
Money Back	recouvrer	Noun
Money Back	remboursement	Noun
Money Back	restitution	Noun
Money Back	retour d'argent	Noun
Money Back	récupération	Noun
Money Pool	cagnotte	Noun
Monitor	l'écran	Noun
Monitor	moniteur	Noun
Monkey	singe	Noun
Monkey's	singe	Noun
Monster	monstre	Noun
Monster's	monstre	Noun
Monstrous	énorme	Noun
Mont	montagne	Noun
Month	lune	Noun
Month	mois	Noun
Monthly	mensuel	Noun
Monthly	mensuelle	Noun
Monthly	mensuellement	Noun
Monthly	mensuelles	Noun
Monthly	mensuels	Noun
Monument	monument	Noun
Mood	ambiance	Noun
Mood	d'esprits	Noun
Mood	d'humeur	Noun
Mood	d’humeur	Noun
Mood	humeur	Noun
Mood	l'ambiance	Noun
Mood	l'atmosphère	Noun
Mood	l’esprit	Noun
Moody	capricieux	Adjective
Moon	lune	Noun
Mop	la serpillière	Noun
Mop	serpillière	Noun
Mopped	lavé	Verb
Moral	morale	Noun
Moral Principles	l'éthique	Noun
Morality	morale	Noun
More	d'autres	Adverb
More	davantage	Adverb
More	encore	Adverb
More	plus	Adverb
More Dangerous	plus périlleux	Noun
More Dangerous	plus risqué	Noun
More Expensive	plus coûteux	Noun
More Or Less	environ	Noun
More Or Less	à peu près	Noun
Moreover	d'ailleurs	Noun
Morning	matin	Noun
Morning	matinée	Noun
Morning	matinées	Noun
Moroccan	marocain	Noun
Morocco	Maroc	Noun
Mortgage Loan	prêt immobilier	Noun
Mosque	la mosquée	Noun
Mosque	mosquée	Noun
Mosquito	moustique	Noun
Most	la majorité	Noun
Most	plupart	Noun
Most	plus	Adverb
Most Expensive	cher	Noun
Most Expensive	chers	Noun
Most Expensive	chère	Noun
Most Expensive	chères	Noun
Most Expensive	la plus chère	Noun
Most Expensive	les plus chères	Noun
Most Interesting	la plus intéressante	Noun
Most Interesting	le plus intéressant	Noun
Most Interesting	les plus intéressantes	Noun
Most Interesting	les plus intéressants	Noun
Most Likely	probablement	Adverb
Most Of	la majorité de	Noun
Most Part	plupart	Noun
Most Probably	certainement	Adverb
Most Probably	sûrement	Adverb
Mostly	principalement	Adverb
Mother	la mère	Noun
Mother	maman	Noun
Mother	mère	Noun
Mother's	maternel	Noun
Mother-In-Law	belle-mère	Noun
Mother-In-Law	la belle-mère	Noun
Mother’s	maternel	Noun
Motion	mouvement	Noun
Motivated	motivé	Adjective
Motivation	motivation	Noun
Motive	-trice	Noun
Motive	mobile	Noun
Motive	moteur	Noun
Motive	motif	Noun
Motor	-trice	Noun
Motor	automobile	Noun
Motor	bagnole	Noun
Motor	de l'automobile	Noun
Motor	moteur	Noun
Motor	roule	Noun
Motor	roulent	Noun
Motor	rouler	Noun
Motor	trace	Noun
Motor	tracer	Noun
Motorcycle	moto	Noun
Motorist	l'automobiliste	Noun
Motorized Scooter	scooter	Noun
Motorway	l'autoroute	Noun
Mountain	montagne	Noun
Mountain Biking	vtt	Noun
Mountaineering	l'escalade	Noun
Mountainous	montagneux	Noun
Mountains	montagne	Noun
Mouse	souris	Noun
Mouth	bouche	Noun
Mouthed	bouche	Verb
Move	bouge	Noun
Move	bougent	Noun
Move	bougeons	Noun
Move	bouger	Noun
Move	bouges	Noun
Move	bougez	Noun
Move	déménage	Noun
Move	déménagement	Noun
Move	déménagent	Noun
Move	déménager	Noun
Move	déménages	Noun
Move	déménagez	Noun
Move	déplacer	Noun
Move	déplacez	Noun
Move	emménage	Noun
Move	emménager	Noun
Move	touchent	Noun
Move Away	m'éloigner	Noun
Move Away	s'éloigner	Noun
Move Away	t'éloigne	Noun
Move Back Home	déménager chez soi	Noun
Move Back Home	retourner à la maison	Noun
Move Back Home	revenir à la maison	Noun
Move In	m'installer	Noun
Move In	s'installer	Noun
Move Into	emménager	Noun
Move Into	emménager dans	Noun
Move Into	s'installer	Noun
Move On	circulent	Noun
Move On	circules	Noun
Move On	circulez	Noun
Move On	passer	Noun
Move On	passer à	Noun
Move Out	déménage	Noun
Moved	a déménagé	Adjective
Moved	a déplacé	Adjective
Moved	a emménagé	Adjective
Moved	ai déménagé	Adjective
Moved	as déménagé	Adjective
Moved	avez déménagé	Adjective
Moved	avons déménagé	Adjective
Moved	bougé	Adjective
Moved	déménageais	Adjective
Moved	déménageâmes	Adjective
Moved	déménagé	Adjective
Moved	déplacée	Adjective
Moved	déplaçait	Adjective
Moved	emménagé	Adjective
Moved	l’ai	Adjective
Moved	muté	Adjective
Moved	ont déménagé	Adjective
Moved	s'est	Adjective
Moved	s'installaient	Adjective
Moved	touché	Adjective
Moved	touchée	Adjective
Moved	touchées	Adjective
Moved	transférés	Adjective
Moved	transportées	Adjective
Moved	éloignait	Adjective
Moved	ému	Adjective
Moved	émue	Adjective
Movement	geste	Noun
Movement	mouvement	Noun
Mover	déménageur	Noun
Moves	emménager	Noun
Moves	intervenir	Noun
Moves	touche	Noun
Movie	film	Noun
Movie	filme	Noun
Movie Lover	cinéphile	Noun
Movie Screen	l'écran	Noun
Movie Theater	cinéma	Noun
Movie Theater	la salle de cinéma	Noun
Movie Theater	le cinéma	Noun
Movie's	cinéma	Noun
Movies	ciné	Noun
Movies	cinéma	Noun
Movies	film	Noun
Movies	films	Noun
Moving	bouger	Adjective
Moving	déménager	Adjective
Moving	touchant	Adjective
Moving	émouvant	Adjective
Moving On	passer	Noun
Moving Truck	camion de déménagement	Noun
Mow	tondre	Noun
Mowing	tondre	Verb
Mr	monsieur	Noun
Mrs.	madame	Noun
Ms.	madame	Noun
Much	beaucoup	Adverb
Much	bien	Adverb
Much	grand-chose	Adverb
Much	tant	Adverb
Much	à peu près	Adverb
Mud	boue	Noun
Mud-Covered	boueux	Adjective
Muddy	boueux	Adjective
Muffin	cupcake	Noun
Mug	tasse	Noun
Mugs	tasses	Noun
Multicultural	multiculturel	Adjective
Mum	maman	Noun
Mummy	maman	Noun
Municipal	municipal	Noun
Murder	-elle	Noun
Murder	assassine	Noun
Murder	assassinent	Noun
Murder	assassiner	Noun
Murder	assassinons	Noun
Murder	criminel	Noun
Murder	massacre	Noun
Murder	massacrent	Noun
Murder	massacrer	Noun
Murder	massacrons	Noun
Murder	meurtre	Noun
Murder	tue	Noun
Murder	tuent	Noun
Murder	tuer	Noun
Murder	tuons	Noun
Murder	écrase	Noun
Murder	écrasent	Noun
Murder	écraser	Noun
Murder	écrasons	Noun
Murderer	l'assassin	Noun
Murderer	meurtrier	Noun
Muscle	muscles	Noun
Muscle	musculaire	Noun
Muscle	musculaires	Noun
Muscly	musclé	Adjective
Muscular	musclé	Adjective
Museum	de musée	Noun
Museum	le musée	Noun
Museum	musée	Noun
Mushroom	champignon	Noun
Music	musical	Noun
Music	musique	Noun
Music Video	clip vidéo	Noun
Music Video	vidéoclip	Noun
Musical	comédie musicale	Noun
Musical	l'arrangement	Noun
Musical	musicales	Noun
Musical	musicaux	Noun
Musical	mélodie	Noun
Musical Instrument	l'instrument	Noun
Musician	musicien	Noun
Muslim	musulman	Noun
Must	devez	Verb
Must	devoir	Verb
Must	devoirs	Verb
Must	devons	Verb
Must	dois	Verb
Must	doit	Verb
Must	doivent	Verb
Must	doives	Verb
Must	faudra	Verb
Must	faut	Verb
Must	l'on	Verb
Must	n'a	Verb
Must	n'ai	Verb
Must	need	Verb
Must	obligatoirement	Verb
Must	qu'à	Verb
Must	qu’il	Verb
Must Be	devoir être	Noun
Must Be	falloir être	Noun
Must Have	a dû	Noun
Must Have	aura	Noun
Must Have	auront	Noun
Must Have	sera	Noun
Must I	suis-je censé	Noun
Must I	suis-je obligé de	Noun
Must Not Have	ne peut pas être	Noun
Must We	devoir	Noun
Must-See	incontournable	Noun
Must-See	incontournables	Noun
Mustache	moustache	Noun
Mustard	moutarde	Adjective
Mustard-Yellow	moutarde	Adjective
Muted	discret	Verb
My	les	Noun
My	mes	Noun
My	mon	Noun
My All	tout	Noun
My Balance	l'équilibre	Noun
My Condolences	toutes mes condoléances	Interjection
My Mouth Is Watering	l'eau à la bouche	Noun
My Regards	mes amitiés	Noun
My Treat	c'est cadeau	Noun
My Treat	c'est ma tournée	Noun
My Treat	c'est moi qui paie	Noun
My Treat	c'est moi qui régale	Noun
My Turn	à moi	Noun
Myself	m'	Pronoun
Myself	moi	Pronoun
Myself	moi-même	Pronoun
Mysterious	mystérieux	Adjective
Mysterious	énigmatique	Adjective
Mystery	-ieuse	Noun
Mystery	mystère	Noun
Mystery	mystérieux	Noun
Mystery	énigme	Noun
Myth	mythe	Noun
Mythical	légendaire	Adjective
Nail	clou	Noun
Nail	cloue	Noun
Nail	clouer	Noun
Nail	coince	Noun
Nail	coincer	Noun
Nail	condamner	Noun
Nail	définir	Noun
Nail	démasque	Noun
Nail	démasquer	Noun
Nail	dément	Noun
Nail	démentir	Noun
Nail	démolir	Noun
Nail	démolit	Noun
Nail	l'ongle	Noun
Nail	ongle	Noun
Nail Polish	vernis à ongles	Noun
Nails Done	manucure	Noun
Naive	naïf	Noun
Name	fixer	Noun
Name	nom	Noun
Name	réputation	Noun
Name's	prénom	Noun
Named	s'appelle	Verb
Nap	poil	Noun
Nap	sieste	Noun
Napkin	couche de bébé	Noun
Napkin	serviette	Noun
Napkins	serviettes	Noun
Napping	sieste	Verb
Narrow	étroit	Adjective
Narrow	étroite	Adjective
Narrow	étroites	Adjective
Narrow	étroits	Adjective
Narrow-Minded	borné	Adjective
Nation	pays	Noun
Nation	people	Noun
Nation	peuple	Noun
Nation	état	Noun
National	national	Noun
National Assembly	l'Assemblée nationale	Noun
Nationality	la nationalité	Noun
Nationality	nationalité	Noun
Nationwide	national	Noun
Native	autochtone	Noun
Native	indigène	Noun
Native	inné	Noun
Native	natal	Noun
Natural	biologique	Adjective
Natural	naturel	Adjective
Natural	naturelle	Adjective
Natural	naturelles	Adjective
Natural	naturels	Adjective
Natural	né	Adjective
Nature	l'environnement	Noun
Nature	ordre	Noun
Nature Reserve	réserve naturelle	Noun
Nausea	la nausée	Noun
Nausea	nausée	Noun
Nauseating	écœurant	Verb
Near	approchions	Adverb
Near	approchés	Adverb
Near	close	Adverb
Near	proche	Adverb
Near	près	Adverb
Near	près de	Preposition
Near	près des	Adverb
Near	rapproché	Adverb
Near	rapprochés	Adverb
Nearby	près d'ici	Noun
Nearly	failli	Adverb
Nearly	faillir	Adverb
Nearly	près	Adverb
Neat	chouette	Adjective
Neat	chouettes	Adjective
Neat	clean	Adjective
Neat	nettes	Adjective
Neat	soigné	Adjective
Necessarily	nécessairement	Adverb
Necessary	faille	Noun
Necessary	nécessaire	Noun
Necessary To	nécessaire de	Noun
Neck	cou	Noun
Necklace	collier	Noun
Need	ai besoin d'	Noun
Need	avoir besoin d'	Noun
Need	besoin	Noun
Need	besoin d'	Noun
Need	faut	Noun
Need	misère	Noun
Need	nécessitent	Noun
Need	nécessitera	Noun
Need To	a besoin d'	Noun
Need To	ai besoin d'	Noun
Need To	as besoin d'	Noun
Need To	avez besoin d'	Noun
Need To	avoir besoin d'	Noun
Need To	avons besoin d'	Noun
Need To	devez	Noun
Need To	devoir	Noun
Need To	devons	Noun
Need To	dois	Noun
Need To	doit	Noun
Need To	doivent	Noun
Need To	ont besoin d'	Noun
Need To Be	avoir besoin d'être	Noun
Need To Be	devoir être	Noun
Need To Be	falloir être	Noun
Need To Be	être à balayer	Noun
Need To Be	être à dépoussiérer	Noun
Need To Be	être à faire	Noun
Need To Be	être à jeter	Noun
Need To Be	être à laver	Noun
Need To Be	être à nettoyer	Noun
Need To Be Cultivated	cultiver	Noun
Needed	devait	Verb
Needed	nécessaire	Verb
Needle	aiguille	Noun
Needless To Say	évidemment	Noun
Needs To	doit	Noun
Negation	la négation	Noun
Negative	cliché	Noun
Negative	négatif	Noun
Negative Balance	le découvert	Noun
Neglect	négliger	Noun
Neglected	à l'abandon	Verb
Negociate	négocier	Noun
Negotiate	discutez	Noun
Negotiate	négocier	Noun
Negotiate	négocions	Noun
Negotiate	traités	Noun
Negotiating	négocier	Verb
Neighbor	voisin	Noun
Neighborhood	alentours	Noun
Neighborhood	bastille	Noun
Neighborhood	parages	Noun
Neighborhood	quartier	Noun
Neighborhood	voisinage	Noun
Neighboring	voisin	Verb
Neither	ni l'autre	Noun
Neither	ni l'un	Noun
Neither Of	ni l'un ni l'autre	Noun
Neither Of	ni l'un ni l'autre des	Noun
Nephew	neveu	Noun
Nephew's	neveu	Noun
Nerve	culot	Noun
Nerve	estomac	Noun
Nervous	agité	Adjective
Nervous	nerveux	Adjective
Nervous System	le système nerveux	Noun
Nest	nid	Noun
Net	filet	Noun
Network	réseau	Noun
Network	réseau social	Noun
Neuf	neuf	Noun
Neutral	neutre	Adjective
Never	jamais	Adverb
Never	n' ... jamais	Adverb
Never	n'ai	Adverb
Never	n’a	Adverb
Never	n’y	Adverb
Never Been	jamais été	Noun
Never Been	n'a jamais été	Noun
Never Been	n'avoir jamais été	Noun
Never Been	ne jamais avoir été	Noun
Never Have I	jamais je n'ai	Noun
Never Have I	je n'ai jamais	Noun
Never Have I	je n'ai jamais eu	Noun
Never Have I	je n'ai jamais fait	Noun
Never Have I	je n'ai jamais lu	Noun
Never Have I	je n'ai jamais passé	Noun
Never Have I	je n'ai jamais ressenti	Noun
Never Have I	je n'ai jamais travaillé	Noun
Never Have I	je n'ai jamais vu	Noun
Never Used To	ne jamais avoir l'habitude de	Noun
Never Used To	ne jamais s'inquiéter de	Noun
Never Used To	ne jamais être habitué à	Noun
Never-Ending	interminable	Adjective
Nevertheless	cependant	Adverb
Nevertheless	néanmoins	Adverb
Nevertheless	toutefois	Adverb
New	inédit	Adjective
New	neuf	Adjective
New	neufs	Adjective
New	neuve	Adjective
New	neuves	Adjective
New	nouveau	Adjective
New	nouveaux	Adjective
New	nouvel	Adjective
New	nouvelle	Adjective
New	nouvelles	Adjective
New	récent	Adjective
New	récente	Adjective
New	récentes	Adjective
New	récents	Adjective
New Employee	nouveau	Noun
New Employee	nouvel	Noun
New Recruit	nouveau	Noun
New Recruit	nouvel	Noun
New Student	nouveau	Noun
New Student	nouvel	Noun
New Year's Eve	réveillon	Noun
Newborn	nouveau-né	Noun
Newly Built	récent	Noun
News	actualités	Noun
News	information	Noun
News	informations	Noun
News	l'actualité	Noun
News	nouvel	Noun
News	nouvelle	Noun
News	nouvelles	Noun
Newspaper	journal	Noun
Newspapers	journaux	Noun
Next	après	Adjective
Next	d'à côté	Adjective
Next	ensuite	Adjective
Next	prochain	Adjective
Next	prochaine	Adjective
Next	prochaines	Adjective
Next	prochains	Adjective
Next	puis	Adjective
Next	suivant	Adjective
Next	suivante	Adjective
Next	suivantes	Adjective
Next	suivants	Adjective
Next	à côté	Adjective
Next Day	lendemain	Noun
Next Door	d'à côté	Noun
Next Door	à côté	Noun
Next Step	prochaine étape	Noun
Next Step	étape d'après	Noun
Next Step	étape suivante	Noun
Next To	près de	Noun
Next To	à côté de	Noun
Next To Each Other	côte à côte	Noun
Next Up	ensuite	Noun
